  ,// User name
28-5-2013,// Evaluation date
01Lprocessed (1),0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
55.700,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.565190,0.056952,1.490299,-0.590302,0.130997,1.227977,-0.547755,0.140107,0.971590,-0.642001,-0.010689,0.994980,-0.737440,0.047183,0.586954,-0.837979,0.084017,0.126055,-0.568798,-0.330324,1.444846,-0.639346,-0.335917,1.179648,-0.611797,-0.434082,0.935397,4.807974,-3.330291,6.882356,4.944184,-3.397053,6.496462,-0.816092,-0.131676,0.142686,
1,-0.565191,0.056935,1.490310,-0.590303,0.130989,1.227991,-0.547753,0.140096,0.971603,-0.641999,-0.010690,0.994981,-0.737441,0.047181,0.586955,-0.837985,0.084018,0.126057,-0.568845,-0.330292,1.444826,-0.639491,-0.335784,1.179651,-0.611863,-0.433859,0.935327,4.807718,-3.330139,6.882065,4.943934,-3.396893,6.496172,-0.816094,-0.131677,0.142686,
2,-0.565187,0.056893,1.490334,-0.590287,0.130972,1.228021,-0.547734,0.140074,0.971634,-0.641997,-0.010693,0.994983,-0.737448,0.047180,0.586960,-0.837989,0.084020,0.126062,-0.568957,-0.330233,1.444777,-0.639767,-0.335499,1.179642,-0.612014,-0.433373,0.935174,4.806970,-3.329673,6.881187,4.943185,-3.396420,6.495292,-0.816093,-0.131675,0.142684,
3,-0.565173,0.056760,1.490410,-0.590224,0.130922,1.228115,-0.547663,0.140006,0.971735,-0.641994,-0.010700,0.994993,-0.737471,0.047179,0.586977,-0.837994,0.084025,0.126077,-0.569312,-0.330057,1.444621,-0.640600,-0.334618,1.179601,-0.612487,-0.431861,0.934693,4.804471,-3.328111,6.878243,4.940677,-3.394838,6.492342,-0.816087,-0.131667,0.142681,
4,-0.565140,0.056516,1.490547,-0.590082,0.130838,1.228287,-0.547508,0.139889,0.971921,-0.641991,-0.010711,0.995012,-0.737516,0.047183,0.587010,-0.837992,0.084035,0.126101,-0.569957,-0.329763,1.444336,-0.642048,-0.333080,1.179515,-0.613328,-0.429183,0.933840,4.799655,-3.325090,6.872558,4.935836,-3.391788,6.486643,-0.816069,-0.131647,0.142676,
5,-0.565085,0.056193,1.490729,-0.589840,0.130738,1.228515,-0.547246,0.139755,0.972173,-0.641991,-0.010721,0.995039,-0.737577,0.047197,0.587054,-0.837970,0.084045,0.126132,-0.570811,-0.329423,1.443959,-0.643833,-0.331172,1.179378,-0.614391,-0.425813,0.932758,4.792665,-3.320703,6.864308,4.928808,-3.387364,6.478373,-0.816034,-0.131614,0.142669,
6,-0.565014,0.055846,1.490930,-0.589495,0.130653,1.228765,-0.546864,0.139654,0.972454,-0.641997,-0.010721,0.995070,-0.737644,0.047225,0.587103,-0.837925,0.084055,0.126163,-0.571731,-0.329134,1.443561,-0.645529,-0.329335,1.179190,-0.615426,-0.422549,0.931687,4.784071,-3.315326,6.854199,4.920178,-3.381936,6.468242,-0.815983,-0.131567,0.142664,
7,-0.564940,0.055537,1.491123,-0.589062,0.130611,1.229001,-0.546354,0.139636,0.972726,-0.642012,-0.010701,0.995100,-0.737703,0.047268,0.587147,-0.837863,0.084064,0.126189,-0.572585,-0.328974,1.443220,-0.646757,-0.327966,1.178955,-0.616186,-0.420184,0.930863,4.774524,-3.309404,6.843055,4.910631,-3.375934,6.457084,-0.815921,-0.131511,0.142660,
8,-0.564880,0.055312,1.491291,-0.588564,0.130633,1.229200,-0.545716,0.139736,0.972964,-0.642031,-0.010656,0.995128,-0.737741,0.047322,0.587181,-0.837799,0.084073,0.126210,-0.573284,-0.328991,1.442998,-0.647280,-0.327340,1.178687,-0.616498,-0.419303,0.930459,4.764560,-3.303294,6.831549,4.900722,-3.369706,6.445578,-0.815860,-0.131454,0.142657,
9,-0.564848,0.055198,1.491424,-0.588027,0.130733,1.229349,-0.544954,0.139966,0.973154,-0.642050,-0.010583,0.995152,-0.737754,0.047387,0.587202,-0.837745,0.084083,0.126225,-0.573785,-0.329204,1.442934,-0.647010,-0.327597,1.178408,-0.616280,-0.420229,0.930578,4.754534,-3.297201,6.820089,4.890796,-3.363479,6.434129,-0.815808,-0.131399,0.142656,
