  ,// User name
28-5-2013,// Evaluation date
01R,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
85.800,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.507615,0.050533,1.481163,-0.527389,0.118933,1.216860,-0.483356,0.095939,0.959539,-0.613641,-0.018621,0.991997,-0.716136,0.043446,0.586306,-0.830748,0.077943,0.166783,-0.596931,-0.324660,1.452552,-0.649016,-0.335338,1.183272,-0.612432,-0.330077,0.937970,-2.858771,0.044100,1.030010,-2.829142,0.130513,0.625561,-0.792034,-0.122774,0.139605,
1,-0.507618,0.050530,1.481162,-0.527414,0.118933,1.216861,-0.483372,0.095929,0.959537,-0.613644,-0.018617,0.991999,-0.716137,0.043449,0.586307,-0.830739,0.077941,0.166784,-0.596932,-0.324657,1.452554,-0.649012,-0.335341,1.183273,-0.612405,-0.330076,0.937978,-2.858663,0.044085,1.030005,-2.829032,0.130498,0.625555,-0.792034,-0.122773,0.139605,
2,-0.507604,0.050526,1.481157,-0.527435,0.118921,1.216856,-0.483423,0.095908,0.959524,-0.613658,-0.018606,0.992010,-0.716144,0.043455,0.586315,-0.830721,0.077941,0.166787,-0.596932,-0.324648,1.452558,-0.648994,-0.335351,1.183275,-0.612328,-0.330080,0.938003,-2.858334,0.044040,1.029987,-2.828700,0.130455,0.625539,-0.792030,-0.122769,0.139605,
3,-0.507541,0.050519,1.481134,-0.527460,0.118872,1.216829,-0.483595,0.095844,0.959475,-0.613707,-0.018572,0.992045,-0.716169,0.043474,0.586343,-0.830667,0.077940,0.166797,-0.596930,-0.324618,1.452572,-0.648929,-0.335386,1.183279,-0.612073,-0.330100,0.938084,-2.857231,0.043885,1.029929,-2.827588,0.130308,0.625482,-0.792015,-0.122757,0.139605,
4,-0.507387,0.050513,1.481086,-0.527408,0.118755,1.216760,-0.483930,0.095735,0.959368,-0.613805,-0.018510,0.992113,-0.716221,0.043508,0.586394,-0.830573,0.077942,0.166817,-0.596926,-0.324562,1.452599,-0.648802,-0.335454,1.183287,-0.611582,-0.330144,0.938238,-2.855101,0.043586,1.029816,-2.825440,0.130023,0.625374,-0.791985,-0.122732,0.139606,
5,-0.507099,0.050523,1.481003,-0.527127,0.118537,1.216619,-0.484419,0.095608,0.959182,-0.613955,-0.018424,0.992209,-0.716303,0.043553,0.586467,-0.830457,0.077947,0.166845,-0.596921,-0.324482,1.452639,-0.648613,-0.335548,1.183300,-0.610866,-0.330217,0.938457,-2.852004,0.043147,1.029652,-2.822322,0.129605,0.625216,-0.791941,-0.122699,0.139607,
6,-0.506649,0.050562,1.480885,-0.526459,0.118199,1.216387,-0.485024,0.095505,0.958909,-0.614146,-0.018329,0.992319,-0.716411,0.043600,0.586549,-0.830344,0.077956,0.166875,-0.596917,-0.324390,1.452692,-0.648381,-0.335653,1.183317,-0.609975,-0.330313,0.938715,-2.848204,0.042603,1.029454,-2.818500,0.129084,0.625025,-0.791891,-0.122664,0.139609,
7,-0.506048,0.050641,1.480734,-0.525339,0.117752,1.216064,-0.485696,0.095461,0.958554,-0.614363,-0.018238,0.992427,-0.716536,0.043642,0.586626,-0.830252,0.077966,0.166903,-0.596919,-0.324297,1.452755,-0.648132,-0.335749,1.183340,-0.608965,-0.330416,0.938987,-2.844008,0.041997,1.029239,-2.814284,0.128496,0.624815,-0.791841,-0.122636,0.139612,
8,-0.505355,0.050756,1.480566,-0.523855,0.117246,1.215684,-0.486394,0.095496,0.958147,-0.614592,-0.018161,0.992520,-0.716666,0.043674,0.586687,-0.830192,0.077973,0.166925,-0.596926,-0.324210,1.452823,-0.647892,-0.335820,1.183368,-0.607883,-0.330506,0.939254,-2.839665,0.041365,1.029022,-2.809927,0.127874,0.624601,-0.791801,-0.122622,0.139616,
9,-0.504666,0.050894,1.480403,-0.522245,0.116760,1.215302,-0.487093,0.095603,0.957738,-0.614819,-0.018103,0.992592,-0.716791,0.043694,0.586727,-0.830161,0.077976,0.166942,-0.596934,-0.324134,1.452892,-0.647676,-0.335857,1.183400,-0.606764,-0.330565,0.939505,-2.835330,0.040728,1.028808,-2.805582,0.127239,0.624389,-0.791774,-0.122624,0.139619,
10,-0.504081,0.051032,1.480268,-0.520801,0.116369,1.214980,-0.487781,0.095760,0.957384,-0.615041,-0.018064,0.992640,-0.716904,0.043704,0.586744,-0.830153,0.077974,0.166952,-0.596935,-0.324071,1.452956,-0.647485,-0.335863,1.183431,-0.605634,-0.330583,0.939737,-2.831068,0.040097,1.028601,-2.801315,0.126602,0.624181,-0.791760,-0.122642,0.139621,
11,-0.503668,0.051153,1.480176,-0.519751,0.116120,1.214758,-0.488450,0.095946,0.957125,-0.615262,-0.018042,0.992668,-0.717010,0.043708,0.586740,-0.830156,0.077968,0.166958,-0.596916,-0.324022,1.453013,-0.647300,-0.335850,1.183458,-0.604513,-0.330557,0.939950,-2.826883,0.039471,1.028399,-2.797129,0.125967,0.623976,-0.791758,-0.122675,0.139622,
12,-0.503440,0.051252,1.480136,-0.519174,0.116028,1.214650,-0.489091,0.096153,0.956978,-0.615489,-0.018034,0.992679,-0.717113,0.043709,0.586720,-0.830165,0.077959,0.166961,-0.596870,-0.323992,1.453060,-0.647094,-0.335839,1.183476,-0.603418,-0.330494,0.940145,-2.822754,0.038849,1.028199,-2.793001,0.125334,0.623774,-0.791762,-0.122716,0.139622,
