  ,// User name
28-5-2013,// Evaluation date
01R,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
85.800,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.980307,-0.028915,0.046128,-0.189827,0.988904,-0.001048,0.119160,-0.088708,0.986369,0.142540,0.031433,0.075969,0.979612,-0.131092,-0.152232,0.000805,0.987413,0.104433,0.088776,0.078916,0.999268,-0.033669,0.011869,0.013713,0.999485,-0.027840,-0.001203,-0.015902,0.994889,-0.020379,0.039727,-0.090565,0.980486,0.101724,-0.147051,0.081704,0.366395,0.007773,-0.164729,0.915728,0.346625,0.109608,0.151787,-0.919129,0.977080,-0.077519,-0.013754,0.197778,
1,0.980301,-0.028924,0.046130,-0.189858,0.988901,-0.001085,0.119127,-0.088786,0.986375,0.142534,0.031496,0.075876,0.979605,-0.131076,-0.152288,0.000925,0.987404,0.104460,0.088812,0.078953,0.999265,-0.033665,0.011899,0.013925,0.999483,-0.027828,-0.001234,-0.016052,0.994893,-0.020376,0.039712,-0.090534,0.980482,0.101765,-0.147067,0.081667,0.366328,0.007825,-0.164753,0.915751,0.346619,0.109608,0.151790,-0.919131,0.977079,-0.077503,-0.013756,0.197789,
2,0.980288,-0.028942,0.046129,-0.189919,0.988896,-0.001141,0.119065,-0.088924,0.986372,0.142512,0.031565,0.075925,0.979603,-0.131054,-0.152322,0.000833,0.987393,0.104492,0.088882,0.078966,0.999260,-0.033658,0.011939,0.014295,0.999480,-0.027817,-0.001287,-0.016261,0.994900,-0.020380,0.039668,-0.090475,0.980471,0.101854,-0.147108,0.081618,0.366209,0.007919,-0.164786,0.915791,0.346626,0.109601,0.151788,-0.919129,0.977083,-0.077427,-0.013737,0.197801,
3,0.980251,-0.028997,0.046123,-0.190106,0.988882,-0.001296,0.118877,-0.089330,0.986347,0.142436,0.031695,0.076337,0.979611,-0.130993,-0.152326,0.000175,0.987367,0.104570,0.089093,0.078952,0.999243,-0.033637,0.012048,0.015385,0.999471,-0.027793,-0.001439,-0.016824,0.994922,-0.020397,0.039521,-0.090295,0.980432,0.102133,-0.147246,0.081491,0.365862,0.008195,-0.164878,0.915911,0.346658,0.109577,0.151777,-0.919122,0.977097,-0.077175,-0.013666,0.197837,
4,0.980185,-0.029096,0.046104,-0.190433,0.988858,-0.001545,0.118554,-0.090018,0.986264,0.142282,0.031730,0.077666,0.979656,-0.130908,-0.152098,-0.001841,0.987333,0.104675,0.089457,0.078834,0.999212,-0.033601,0.012217,0.017243,0.999456,-0.027766,-0.001690,-0.017703,0.994963,-0.020429,0.039239,-0.089956,0.980354,0.102631,-0.147526,0.081296,0.365274,0.008661,-0.165020,0.916116,0.346730,0.109528,0.151751,-0.919105,0.977122,-0.076712,-0.013523,0.197902,
5,0.980104,-0.029224,0.046068,-0.190842,0.988829,-0.001814,0.118158,-0.090846,0.986068,0.142051,0.031325,0.080686,0.979774,-0.130845,-0.151267,-0.006312,0.987310,0.104749,0.089907,0.078511,0.999169,-0.033557,0.012395,0.019513,0.999439,-0.027754,-0.001978,-0.018621,0.995023,-0.020471,0.038839,-0.089455,0.980238,0.103279,-0.147970,0.081071,0.364568,0.009217,-0.165166,0.916365,0.346840,0.109453,0.151703,-0.919080,0.977155,-0.076097,-0.013308,0.197991,
6,0.980022,-0.029360,0.046011,-0.191251,0.988802,-0.002030,0.117770,-0.091637,0.985695,0.141756,0.030120,0.086045,0.979968,-0.130851,-0.149465,-0.014162,0.987315,0.104744,0.090350,0.077936,0.999123,-0.033515,0.012536,0.021740,0.999426,-0.027768,-0.002227,-0.019303,0.995102,-0.020502,0.038372,-0.088767,0.980092,0.103971,-0.148594,0.080806,0.363898,0.009739,-0.165268,0.916608,0.346965,0.109362,0.151635,-0.919055,0.977187,-0.075445,-0.013050,0.198100,
7,0.979955,-0.029487,0.045935,-0.191594,0.988781,-0.002156,0.117448,-0.092273,0.985094,0.141418,0.027948,0.093855,0.980169,-0.130950,-0.146523,-0.025549,0.987353,0.104654,0.090717,0.077155,0.999081,-0.033479,0.012624,0.023610,0.999418,-0.027798,-0.002397,-0.019632,0.995203,-0.020501,0.037902,-0.087832,0.979931,0.104619,-0.149410,0.080412,0.363365,0.010147,-0.165304,0.916808,0.347065,0.109265,0.151559,-0.919041,0.977208,-0.074869,-0.012791,0.198229,
8,0.979909,-0.029592,0.045843,-0.191836,0.988767,-0.002201,0.117205,-0.092722,0.984265,0.141062,0.024979,0.103444,0.980257,-0.131135,-0.142619,-0.039486,0.987411,0.104511,0.090981,0.076289,0.999047,-0.033447,0.012681,0.025015,0.999416,-0.027827,-0.002488,-0.019652,0.995329,-0.020450,0.037486,-0.086588,0.979770,0.105186,-0.150421,0.079755,0.362997,0.010428,-0.165283,0.916955,0.347104,0.109174,0.151488,-0.919049,0.977213,-0.074441,-0.012572,0.198382,
9,0.979884,-0.029672,0.045743,-0.191973,0.988761,-0.002201,0.117030,-0.093011,0.983284,0.140719,0.021700,0.113492,0.980159,-0.131377,-0.138252,-0.053983,0.987474,0.104359,0.091148,0.075469,0.999022,-0.033416,0.012736,0.025997,0.999419,-0.027845,-0.002531,-0.019496,0.995478,-0.020350,0.037164,-0.085019,0.979616,0.105677,-0.151605,0.078749,0.362771,0.010612,-0.165230,0.917052,0.347064,0.109095,0.151431,-0.919083,0.977198,-0.074172,-0.012418,0.198565,
10,0.979879,-0.029729,0.045639,-0.192015,0.988760,-0.002190,0.116899,-0.093185,0.982301,0.140428,0.018711,0.122531,0.979919,-0.131660,-0.134044,-0.066754,0.987532,0.104238,0.091237,0.074777,0.999004,-0.033386,0.012819,0.026669,0.999422,-0.027853,-0.002562,-0.019300,0.995643,-0.020211,0.036939,-0.083203,0.979470,0.106123,-0.152908,0.077424,0.362649,0.010739,-0.165169,0.917109,0.346953,0.109028,0.151392,-0.919139,0.977167,-0.074029,-0.012335,0.198779,
