  ,// User name
28-5-2013,// Evaluation date
01WPprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
31.950,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.648488,0.055097,1.503139,-0.664894,0.126960,1.239524,-0.618214,0.137661,0.983771,-0.706864,-0.005258,1.000895,-0.804861,0.040718,0.591963,-0.916716,0.068481,0.177564,-0.625800,-0.346143,1.464703,-0.661154,-0.390143,1.196091,-0.632096,-0.522069,0.982544,-0.715652,-0.190377,0.946615,-0.766691,-0.156029,0.536566,-0.867136,-0.121292,0.150558,
1,-0.648496,0.055086,1.503147,-0.664908,0.126949,1.239533,-0.618226,0.137647,0.983779,-0.706866,-0.005271,1.000893,-0.804863,0.040711,0.591962,-0.916718,0.068479,0.177566,-0.625789,-0.346077,1.464638,-0.661304,-0.389861,1.196012,-0.632252,-0.521684,0.982331,-0.715651,-0.190393,0.946612,-0.766690,-0.156034,0.536565,-0.867136,-0.121294,0.150557,
2,-0.648504,0.055054,1.503168,-0.664939,0.126920,1.239557,-0.618265,0.137603,0.983803,-0.706867,-0.005305,1.000890,-0.804869,0.040693,0.591961,-0.916716,0.068474,0.177571,-0.625792,-0.345888,1.464473,-0.661694,-0.389094,1.195805,-0.632650,-0.520667,0.981792,-0.715640,-0.190429,0.946606,-0.766684,-0.156044,0.536561,-0.867129,-0.121291,0.150553,
3,-0.648521,0.054948,1.503240,-0.665037,0.126827,1.239637,-0.618396,0.137451,0.983884,-0.706868,-0.005415,1.000880,-0.804886,0.040635,0.591961,-0.916707,0.068460,0.177589,-0.625820,-0.345269,1.463939,-0.662982,-0.386607,1.195148,-0.633943,-0.517357,0.980059,-0.715600,-0.190542,0.946584,-0.766660,-0.156075,0.536548,-0.867103,-0.121279,0.150543,
4,-0.648538,0.054745,1.503376,-0.665213,0.126652,1.239790,-0.618654,0.137155,0.984037,-0.706865,-0.005620,1.000864,-0.804915,0.040530,0.591964,-0.916687,0.068435,0.177623,-0.625912,-0.344104,1.462950,-0.665488,-0.382032,1.194001,-0.636349,-0.511176,0.976873,-0.715519,-0.190747,0.946544,-0.766612,-0.156132,0.536524,-0.867048,-0.121250,0.150526,
5,-0.648529,0.054455,1.503568,-0.665442,0.126408,1.240010,-0.619037,0.136728,0.984252,-0.706854,-0.005900,1.000843,-0.804947,0.040389,0.591969,-0.916653,0.068405,0.177670,-0.626117,-0.342493,1.461607,-0.669149,-0.375911,1.192590,-0.639646,-0.502663,0.972588,-0.715404,-0.191021,0.946490,-0.766542,-0.156210,0.536493,-0.866966,-0.121205,0.150506,
6,-0.648463,0.054107,1.503798,-0.665677,0.126126,1.240277,-0.619519,0.136212,0.984501,-0.706830,-0.006211,1.000822,-0.804970,0.040236,0.591976,-0.916605,0.068376,0.177722,-0.626463,-0.340685,1.460116,-0.673547,-0.369281,1.191223,-0.643348,-0.493039,0.967882,-0.715279,-0.191322,0.946433,-0.766460,-0.156300,0.536460,-0.866865,-0.121147,0.150488,
7,-0.648325,0.053734,1.504040,-0.665875,0.125835,1.240564,-0.620061,0.135669,0.984749,-0.706797,-0.006506,1.000802,-0.804974,0.040096,0.591984,-0.916552,0.068354,0.177774,-0.626938,-0.338963,1.458691,-0.678055,-0.363127,1.190099,-0.646935,-0.483643,0.963430,-0.715184,-0.191611,0.946384,-0.766384,-0.156390,0.536430,-0.866762,-0.121085,0.150475,
8,-0.648110,0.053366,1.504274,-0.666004,0.125562,1.240847,-0.620623,0.135156,0.984967,-0.706759,-0.006745,1.000786,-0.804957,0.039990,0.591988,-0.916501,0.068343,0.177818,-0.627489,-0.337548,1.457483,-0.682064,-0.358076,1.189269,-0.650003,-0.475564,0.959710,-0.715152,-0.191859,0.946351,-0.766329,-0.156471,0.536409,-0.866671,-0.121029,0.150468,
9,-0.647829,0.053029,1.504480,-0.666051,0.125322,1.241103,-0.621166,0.134715,0.985133,-0.706721,-0.006903,1.000775,-0.804923,0.039933,0.591989,-0.916460,0.068344,0.177854,-0.628049,-0.336552,1.456563,-0.685182,-0.354367,1.188688,-0.652321,-0.469489,0.956969,-0.715205,-0.192049,0.946338,-0.766303,-0.156532,0.536397,-0.866602,-0.120982,0.150465,
10,-0.647501,0.052739,1.504646,-0.666012,0.125128,1.241315,-0.621656,0.134373,0.985235,-0.706684,-0.006968,1.000768,-0.804876,0.039931,0.591987,-0.916431,0.068357,0.177881,-0.628559,-0.335987,1.455939,-0.687279,-0.351984,1.188293,-0.653806,-0.465722,0.955272,-0.715346,-0.192174,0.946346,-0.766312,-0.156569,0.536396,-0.866555,-0.120944,0.150464,
11,-0.647146,0.052510,1.504761,-0.665894,0.124985,1.241471,-0.622063,0.134141,0.985273,-0.706647,-0.006941,1.000767,-0.804825,0.039983,0.591986,-0.916415,0.068382,0.177901,-0.628980,-0.335805,1.455582,-0.688424,-0.350812,1.188038,-0.654460,-0.464292,0.954584,-0.715568,-0.192230,0.946373,-0.766355,-0.156580,0.536404,-0.866527,-0.120912,0.150465,
12,-0.646779,0.052353,1.504822,-0.665708,0.124900,1.241564,-0.622362,0.134026,0.985252,-0.706609,-0.006833,1.000773,-0.804776,0.040082,0.591988,-0.916408,0.068417,0.177916,-0.629293,-0.335945,1.455449,-0.688779,-0.350711,1.187902,-0.654316,-0.465069,0.954836,-0.715853,-0.192218,0.946416,-0.766434,-0.156567,0.536422,-0.866511,-0.120881,0.150467,
13,-0.646418,0.052274,1.504828,-0.665471,0.124879,1.241596,-0.622536,0.134027,0.985184,-0.706569,-0.006656,1.000785,-0.804736,0.040219,0.591995,-0.916411,0.068459,0.177929,-0.629497,-0.336351,1.455501,-0.688507,-0.351561,1.187872,-0.653402,-0.467856,0.955969,-0.716181,-0.192141,0.946472,-0.766547,-0.156536,0.536448,-0.866504,-0.120849,0.150470,
14,-0.646073,0.052274,1.504788,-0.665195,0.124925,1.241573,-0.622573,0.134137,0.985082,-0.706529,-0.006427,1.000802,-0.804708,0.040381,0.592008,-0.916422,0.068508,0.177939,-0.629600,-0.336990,1.455704,-0.687729,-0.353270,1.187946,-0.651738,-0.472450,0.957957,-0.716540,-0.192008,0.946537,-0.766693,-0.156492,0.536479,-0.866502,-0.120816,0.150473,
15,-0.645752,0.052353,1.504711,-0.664890,0.125039,1.241507,-0.622470,0.134343,0.984963,-0.706488,-0.006162,1.000826,-0.804689,0.040557,0.592027,-0.916439,0.068559,0.177948,-0.629622,-0.337848,1.456041,-0.686510,-0.355778,1.188122,-0.649346,-0.478666,0.960807,-0.716921,-0.191837,0.946605,-0.766875,-0.156446,0.536512,-0.866503,-0.120782,0.150477,
16,-0.645461,0.052502,1.504611,-0.664559,0.125217,1.241412,-0.622229,0.134624,0.984839,-0.706445,-0.005877,1.000853,-0.804676,0.040736,0.592049,-0.916461,0.068611,0.177955,-0.629593,-0.338923,1.456502,-0.684885,-0.359056,1.188405,-0.646265,-0.486341,0.964561,-0.717323,-0.191650,0.946671,-0.767091,-0.156407,0.536543,-0.866508,-0.120749,0.150480,
17,-0.645200,0.052712,1.504501,-0.664204,0.125447,1.241301,-0.621859,0.134953,0.984721,-0.706396,-0.005585,1.000882,-0.804663,0.040907,0.592073,-0.916483,0.068658,0.177961,-0.629551,-0.340208,1.457086,-0.682902,-0.363084,1.188816,-0.642550,-0.495320,0.969280,-0.717742,-0.191470,0.946731,-0.767335,-0.156380,0.536568,-0.866515,-0.120719,0.150483,
18,-0.644971,0.052971,1.504391,-0.663829,0.125719,1.241184,-0.621371,0.135307,0.984618,-0.706339,-0.005298,1.000910,-0.804648,0.041065,0.592096,-0.916503,0.068699,0.177964,-0.629542,-0.341669,1.457793,-0.680662,-0.367821,1.189388,-0.638272,-0.505433,0.975037,-0.718158,-0.191305,0.946782,-0.767590,-0.156362,0.536587,-0.866522,-0.120693,0.150485,
19,-0.644774,0.053263,1.504285,-0.663444,0.126020,1.241067,-0.620777,0.135667,0.984533,-0.706275,-0.005023,1.000934,-0.804631,0.041208,0.592116,-0.916517,0.068731,0.177965,-0.629606,-0.343243,1.458623,-0.678323,-0.373171,1.190166,-0.633500,-0.516484,0.981912,-0.718542,-0.191155,0.946827,-0.767832,-0.156341,0.536604,-0.866527,-0.120672,0.150485,
20,-0.644610,0.053578,1.504186,-0.663058,0.126339,1.240953,-0.620091,0.136022,0.984467,-0.706206,-0.004764,1.000952,-0.804615,0.041337,0.592133,-0.916527,0.068754,0.177964,-0.629770,-0.344846,1.459567,-0.676068,-0.378981,1.191183,-0.628303,-0.528248,0.989981,-0.718861,-0.191008,0.946867,-0.768036,-0.156301,0.536621,-0.866526,-0.120653,0.150483,
21,-0.644476,0.053903,1.504089,-0.662682,0.126667,1.240840,-0.619328,0.136361,0.984419,-0.706137,-0.004522,1.000965,-0.804604,0.041456,0.592146,-0.916532,0.068769,0.177963,-0.630038,-0.346404,1.460615,-0.674046,-0.385078,1.192462,-0.622747,-0.540476,0.999311,-0.719090,-0.190852,0.946905,-0.768183,-0.156232,0.536642,-0.866519,-0.120636,0.150479,
22,-0.644368,0.054231,1.503990,-0.662319,0.126994,1.240724,-0.618504,0.136674,0.984382,-0.706073,-0.004299,1.000973,-0.804599,0.041566,0.592156,-0.916534,0.068779,0.177962,-0.630397,-0.347871,1.461759,-0.672340,-0.391312,1.194006,-0.616902,-0.552914,1.009954,-0.719221,-0.190683,0.946943,-0.768267,-0.156131,0.536668,-0.866507,-0.120623,0.150476,
23,-0.644278,0.054554,1.503886,-0.661965,0.127313,1.240600,-0.617640,0.136952,0.984348,-0.706017,-0.004092,1.000978,-0.804602,0.041671,0.592163,-0.916533,0.068783,0.177961,-0.630829,-0.349231,1.462998,-0.670966,-0.397578,1.195809,-0.610838,-0.565312,1.021942,-0.719259,-0.190502,0.946980,-0.768291,-0.156005,0.536700,-0.866489,-0.120613,0.150475,
24,-0.644200,0.054869,1.503771,-0.661612,0.127614,1.240464,-0.616757,0.137188,0.984306,-0.705974,-0.003900,1.000981,-0.804612,0.041772,0.592169,-0.916531,0.068784,0.177961,-0.631318,-0.350486,1.464331,-0.669899,-0.403794,1.197857,-0.604623,-0.577430,1.035279,-0.719219,-0.190315,0.947018,-0.768269,-0.155865,0.536735,-0.866470,-0.120608,0.150477,
25,-0.644126,0.055172,1.503644,-0.661255,0.127886,1.240309,-0.615874,0.137378,0.984248,-0.705944,-0.003718,1.000985,-0.804626,0.041868,0.592174,-0.916529,0.068785,0.177961,-0.631845,-0.351632,1.465748,-0.669091,-0.409873,1.200118,-0.598312,-0.589036,1.049932,-0.719126,-0.190131,0.947052,-0.768218,-0.155724,0.536771,-0.866451,-0.120606,0.150484,
26,-0.644052,0.055459,1.503502,-0.660889,0.128119,1.240134,-0.615012,0.137522,0.984163,-0.705928,-0.003541,1.000991,-0.804645,0.041962,0.592179,-0.916531,0.068786,0.177961,-0.632391,-0.352653,1.467230,-0.668479,-0.415700,1.202540,-0.591947,-0.599914,1.065829,-0.719003,-0.189957,0.947082,-0.768155,-0.155597,0.536805,-0.866434,-0.120605,0.150494,
27,-0.643974,0.055724,1.503345,-0.660515,0.128304,1.239936,-0.614186,0.137614,0.984048,-0.705920,-0.003369,1.000999,-0.804667,0.042051,0.592184,-0.916536,0.068787,0.177961,-0.632930,-0.353532,1.468747,-0.667981,-0.421153,1.205048,-0.585560,-0.609863,1.082860,-0.718873,-0.189803,0.947105,-0.768095,-0.155491,0.536832,-0.866418,-0.120602,0.150507,
28,-0.643885,0.055959,1.503174,-0.660140,0.128429,1.239717,-0.613412,0.137644,0.983904,-0.705912,-0.003204,1.001007,-0.804688,0.042133,0.592190,-0.916544,0.068788,0.177961,-0.633434,-0.354255,1.470262,-0.667504,-0.426148,1.207566,-0.579181,-0.618707,1.100878,-0.718753,-0.189673,0.947119,-0.768045,-0.155410,0.536850,-0.866404,-0.120597,0.150519,
29,-0.643783,0.056156,1.502992,-0.659769,0.128489,1.239481,-0.612701,0.137598,0.983735,-0.705896,-0.003052,1.001014,-0.804705,0.042206,0.592197,-0.916554,0.068788,0.177961,-0.633878,-0.354830,1.471746,-0.666967,-0.430658,1.210034,-0.572845,-0.626300,1.119710,-0.718649,-0.189570,0.947125,-0.768005,-0.155354,0.536860,-0.866391,-0.120591,0.150531,
30,-0.643664,0.056309,1.502804,-0.659413,0.128482,1.239234,-0.612066,0.137460,0.983546,-0.705865,-0.002920,1.001017,-0.804717,0.042267,0.592203,-0.916561,0.068787,0.177962,-0.634242,-0.355279,1.473182,-0.666328,-0.434726,1.212419,-0.566603,-0.632522,1.139167,-0.718558,-0.189491,0.947124,-0.767972,-0.155318,0.536862,-0.866379,-0.120585,0.150540,
31,-0.643527,0.056416,1.502613,-0.659076,0.128410,1.238983,-0.611515,0.137219,0.983344,-0.705814,-0.002817,1.001016,-0.804719,0.042313,0.592208,-0.916564,0.068787,0.177964,-0.634515,-0.355639,1.474563,-0.665594,-0.438432,1.214721,-0.560522,-0.637289,1.159052,-0.718475,-0.189434,0.947116,-0.767938,-0.155295,0.536857,-0.866368,-0.120579,0.150547,
32,-0.643374,0.056478,1.502423,-0.658766,0.128277,1.238730,-0.611055,0.136873,0.983130,-0.705739,-0.002747,1.001009,-0.804710,0.042343,0.592212,-0.916562,0.068787,0.177968,-0.634694,-0.355942,1.475895,-0.664811,-0.441862,1.216957,-0.554676,-0.640544,1.179168,-0.718392,-0.189395,0.947105,-0.767899,-0.155281,0.536849,-0.866360,-0.120573,0.150552,
33,-0.643210,0.056500,1.502234,-0.658487,0.128087,1.238477,-0.610691,0.136428,0.982904,-0.705639,-0.002714,1.000995,-0.804685,0.042355,0.592215,-0.916555,0.068788,0.177973,-0.634782,-0.356218,1.477191,-0.664034,-0.445087,1.219150,-0.549136,-0.642266,1.199318,-0.718301,-0.189375,0.947091,-0.767853,-0.155271,0.536839,-0.866353,-0.120568,0.150556,
