  ,// User name
28-5-2013,// Evaluation date
01WPprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
31.950,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.999208,0.014999,0.005870,-0.036395,0.997391,0.035173,0.062396,-0.009003,0.986090,0.118384,0.019904,0.114958,0.986594,-0.123652,-0.104019,-0.022854,0.987489,0.060586,0.132986,0.059236,0.999527,-0.020803,0.017453,0.014423,0.998711,-0.031043,-0.005573,-0.039777,0.917685,-0.112190,0.010236,-0.381002,0.973231,-0.016890,-0.206689,-0.099079,0.990930,0.048441,0.076661,0.099165,0.987361,-0.010782,0.093565,-0.127469,0.975914,-0.067985,-0.030695,0.205004,
1,0.999208,0.015028,0.005893,-0.036381,0.997396,0.035171,0.062300,-0.009065,0.986084,0.118356,0.019881,0.115044,0.986593,-0.123676,-0.104003,-0.022851,0.987472,0.060597,0.133082,0.059294,0.999526,-0.020801,0.017467,0.014506,0.998709,-0.031027,-0.005595,-0.039839,0.918273,-0.111969,0.010813,-0.379632,0.973095,-0.017106,-0.206633,-0.100481,0.990913,0.048467,0.076754,0.099250,0.987360,-0.010788,0.093567,-0.127475,0.975915,-0.068028,-0.030722,0.204985,
2,0.999206,0.015113,0.005952,-0.036368,0.997405,0.035156,0.062161,-0.009157,0.986073,0.118279,0.019849,0.115225,0.986586,-0.123750,-0.103975,-0.022868,0.987446,0.060632,0.133228,0.059369,0.999524,-0.020802,0.017476,0.014646,0.998706,-0.030999,-0.005629,-0.039931,0.919972,-0.111335,0.012323,-0.375637,0.972694,-0.017814,-0.206495,-0.104447,0.990889,0.048529,0.076894,0.099354,0.987366,-0.010796,0.093556,-0.127434,0.975912,-0.068205,-0.030791,0.204931,
3,0.999202,0.015399,0.006141,-0.036346,0.997428,0.035102,0.061780,-0.009410,0.986041,0.118024,0.019762,0.115775,0.986563,-0.123994,-0.103892,-0.022937,0.987373,0.060751,0.133628,0.059566,0.999517,-0.020811,0.017492,0.015039,0.998698,-0.030918,-0.005722,-0.040178,0.925440,-0.109222,0.017199,-0.362403,0.971262,-0.020133,-0.206017,-0.117484,0.990824,0.048721,0.077281,0.099609,0.987392,-0.010816,0.093508,-0.127263,0.975900,-0.068814,-0.031007,0.204751,
4,0.999191,0.015945,0.006490,-0.036341,0.997465,0.034993,0.061185,-0.009810,0.985989,0.117540,0.019641,0.116723,0.986516,-0.124456,-0.103750,-0.023082,0.987255,0.060978,0.134261,0.059858,0.999507,-0.020833,0.017500,0.015679,0.998686,-0.030778,-0.005870,-0.040560,0.935154,-0.105160,0.026205,-0.337256,0.968099,-0.024290,-0.205031,-0.141973,0.990723,0.049066,0.077892,0.099962,0.987450,-0.010841,0.093406,-0.126887,0.975874,-0.070002,-0.031400,0.204411,
5,0.999173,0.016725,0.006962,-0.036406,0.997504,0.034832,0.060565,-0.010243,0.985937,0.116858,0.019559,0.117859,0.986448,-0.125090,-0.103582,-0.023316,0.987127,0.061297,0.134933,0.060130,0.999495,-0.020874,0.017483,0.016408,0.998674,-0.030607,-0.006028,-0.040957,0.947359,-0.099346,0.038367,-0.301942,0.962710,-0.029571,-0.203501,-0.175788,0.990620,0.049519,0.078541,0.100257,0.987541,-0.010858,0.093248,-0.126291,0.975831,-0.071708,-0.031923,0.203944,
6,0.999146,0.017656,0.007487,-0.036598,0.997535,0.034636,0.060104,-0.010604,0.985910,0.116056,0.019598,0.118859,0.986367,-0.125792,-0.103433,-0.023628,0.987024,0.061662,0.135450,0.060281,0.999483,-0.020932,0.017438,0.017050,0.998667,-0.030435,-0.006151,-0.041243,0.959395,-0.092497,0.051692,-0.261408,0.955214,-0.034869,-0.201559,-0.213831,0.990544,0.050002,0.079028,0.100384,0.987654,-0.010856,0.093061,-0.125546,0.975771,-0.073699,-0.032488,0.203431,
7,0.999111,0.018639,0.007993,-0.036949,0.997553,0.034429,0.059876,-0.010870,0.985934,0.115224,0.019818,0.119436,0.986287,-0.126434,-0.103331,-0.023980,0.986964,0.062019,0.135729,0.060280,0.999475,-0.020999,0.017386,0.017515,0.998666,-0.030288,-0.006224,-0.041356,0.969245,-0.085551,0.064134,-0.221656,0.946550,-0.039337,-0.199499,-0.250390,0.990505,0.050452,0.079259,0.100360,0.987766,-0.010839,0.092890,-0.124787,0.975698,-0.075658,-0.033009,0.202975,
8,0.999071,0.019585,0.008421,-0.037464,0.997560,0.034229,0.059825,-0.011103,0.986019,0.114435,0.020233,0.119426,0.986223,-0.126914,-0.103279,-0.024303,0.986939,0.062327,0.135818,0.060172,0.999469,-0.021068,0.017354,0.017810,0.998672,-0.030172,-0.006258,-0.041299,0.976186,-0.079381,0.074264,-0.187735,0.938142,-0.042665,-0.197702,-0.281040,0.990491,0.050838,0.079265,0.100299,0.987857,-0.010821,0.092780,-0.124149,0.975620,-0.077301,-0.033425,0.202662,
9,0.999026,0.020431,0.008738,-0.038121,0.997562,0.034041,0.059843,-0.011393,0.986160,0.113743,0.020819,0.118820,0.986187,-0.127179,-0.103247,-0.024505,0.986931,0.062564,0.135825,0.060034,0.999464,-0.021137,0.017361,0.017996,0.998682,-0.030084,-0.006283,-0.041116,0.980490,-0.074593,0.081478,-0.162596,0.931268,-0.044955,-0.196547,-0.303461,0.990482,0.051157,0.079140,0.100330,0.987915,-0.010814,0.092756,-0.123710,0.975546,-0.078460,-0.033705,0.202531,
10,0.998980,0.021133,0.008939,-0.038887,0.997563,0.033869,0.059841,-0.011807,0.986340,0.113175,0.021516,0.117739,0.986186,-0.127227,-0.103196,-0.024504,0.986924,0.062723,0.135846,0.059930,0.999459,-0.021206,0.017406,0.018145,0.998694,-0.030018,-0.006323,-0.040863,0.982801,-0.071477,0.085828,-0.147059,0.926637,-0.046451,-0.196365,-0.317217,0.990461,0.051413,0.078971,0.100532,0.987937,-0.010821,0.092817,-0.123484,0.975481,-0.079118,-0.033847,0.202562,
