  ,// User name
28-5-2013,// Evaluation date
03Lprocessed (1),0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
43.717,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.996720,0.035797,-0.069244,0.021751,0.999227,-0.022346,-0.028741,0.014859,0.998848,0.045744,0.014292,0.002356,0.995389,0.070509,-0.065036,-0.000757,0.995726,0.034837,0.084733,-0.011717,0.998953,-0.030688,-0.032420,-0.010001,0.998667,-0.012563,-0.000018,-0.050061,0.994422,-0.103484,0.009888,0.017828,0.995145,-0.093535,-0.027305,0.013877,0.996650,-0.042311,0.069827,0.004851,0.999374,0.030309,-0.009606,0.015492,0.997920,-0.019177,0.032061,0.052540,
1,0.996720,0.035799,-0.069242,0.021746,0.999226,-0.022347,-0.028765,0.014848,0.998848,0.045740,0.014289,0.002339,0.995387,0.070518,-0.065045,-0.000745,0.995724,0.034836,0.084757,-0.011706,0.998953,-0.030687,-0.032419,-0.009984,0.998666,-0.012575,-0.000018,-0.050085,0.994420,-0.103483,0.009909,0.017924,0.995146,-0.093538,-0.027302,0.013748,0.996650,-0.042324,0.069804,0.004927,0.999373,0.030333,-0.009521,0.015555,0.997927,-0.019168,0.032047,0.052419,
2,0.996720,0.035800,-0.069244,0.021736,0.999225,-0.022350,-0.028799,0.014831,0.998849,0.045734,0.014285,0.002316,0.995385,0.070532,-0.065061,-0.000736,0.995721,0.034836,0.084794,-0.011690,0.998953,-0.030688,-0.032423,-0.009959,0.998664,-0.012589,-0.000032,-0.050112,0.994415,-0.103472,0.009988,0.018224,0.995150,-0.093553,-0.027303,0.013359,0.996653,-0.042346,0.069745,0.005071,0.999372,0.030380,-0.009350,0.015672,0.997940,-0.019123,0.032004,0.052200,
3,0.996720,0.035799,-0.069254,0.021705,0.999223,-0.022359,-0.028890,0.014785,0.998850,0.045716,0.014278,0.002256,0.995380,0.070568,-0.065106,-0.000714,0.995712,0.034840,0.084900,-0.011645,0.998953,-0.030691,-0.032440,-0.009892,0.998661,-0.012620,-0.000083,-0.050175,0.994398,-0.103435,0.010249,0.019201,0.995161,-0.093604,-0.027311,0.012099,0.996660,-0.042410,0.069568,0.005484,0.999367,0.030519,-0.008856,0.016006,0.997980,-0.018964,0.031874,0.051582,
4,0.996720,0.035793,-0.069279,0.021652,0.999220,-0.022375,-0.029028,0.014715,0.998851,0.045688,0.014271,0.002167,0.995371,0.070620,-0.065184,-0.000683,0.995698,0.034850,0.085067,-0.011572,0.998953,-0.030700,-0.032478,-0.009783,0.998656,-0.012659,-0.000194,-0.050262,0.994365,-0.103362,0.010737,0.020980,0.995176,-0.093704,-0.027333,0.009808,0.996672,-0.042514,0.069280,0.006141,0.999358,0.030753,-0.008075,0.016538,0.998041,-0.018647,0.031668,0.050627,
5,0.996719,0.035777,-0.069322,0.021583,0.999216,-0.022396,-0.029164,0.014645,0.998853,0.045658,0.014272,0.002080,0.995362,0.070665,-0.065274,-0.000647,0.995683,0.034870,0.085250,-0.011489,0.998952,-0.030718,-0.032538,-0.009660,0.998652,-0.012683,-0.000369,-0.050333,0.994316,-0.103259,0.011391,0.023307,0.995187,-0.093852,-0.027367,0.006826,0.996683,-0.042628,0.068991,0.006809,0.999346,0.031025,-0.007310,0.017080,0.998101,-0.018184,0.031485,0.049720,
6,0.996717,0.035751,-0.069378,0.021512,0.999214,-0.022420,-0.029257,0.014596,0.998854,0.045634,0.014284,0.002022,0.995355,0.070682,-0.065355,-0.000602,0.995670,0.034898,0.085401,-0.011419,0.998950,-0.030743,-0.032613,-0.009545,0.998651,-0.012672,-0.000593,-0.050361,0.994261,-0.103146,0.012086,0.025701,0.995185,-0.094030,-0.027407,0.003772,0.996685,-0.042714,0.068870,0.007190,0.999336,0.031259,-0.006972,0.017387,0.998130,-0.017646,0.031477,0.049345,
7,0.996716,0.035718,-0.069439,0.021444,0.999212,-0.022444,-0.029299,0.014573,0.998854,0.045622,0.014305,0.001996,0.995353,0.070668,-0.065412,-0.000544,0.995660,0.034933,0.085505,-0.011374,0.998947,-0.030774,-0.032690,-0.009449,0.998652,-0.012627,-0.000828,-0.050348,0.994209,-0.103052,0.012694,0.027709,0.995173,-0.094215,-0.027442,0.001233,0.996670,-0.042747,0.069071,0.007071,0.999330,0.031404,-0.007382,0.017277,0.998104,-0.017134,0.031792,0.049837,
8,0.996715,0.035687,-0.069494,0.021378,0.999211,-0.022469,-0.029316,0.014568,0.998854,0.045622,0.014327,0.001993,0.995353,0.070632,-0.065440,-0.000478,0.995653,0.034969,0.085579,-0.011356,0.998945,-0.030803,-0.032753,-0.009373,0.998654,-0.012565,-0.001039,-0.050314,0.994170,-0.102998,0.013135,0.029081,0.995157,-0.094384,-0.027467,-0.000472,0.996635,-0.042721,0.069658,0.006416,0.999328,0.031453,-0.008627,0.016710,0.998017,-0.016738,0.032491,0.051241,
9,0.996714,0.035663,-0.069534,0.021310,0.999210,-0.022493,-0.029342,0.014569,0.998854,0.045628,0.014341,0.001997,0.995356,0.070591,-0.065444,-0.000428,0.995646,0.035000,0.085648,-0.011364,0.998943,-0.030825,-0.032792,-0.009314,0.998656,-0.012504,-0.001199,-0.050276,0.994145,-0.102995,0.013399,0.029812,0.995143,-0.094519,-0.027484,-0.001340,0.996581,-0.042650,0.070555,0.005371,0.999326,0.031434,-0.010496,0.015804,0.997881,-0.016495,0.033495,0.053286,
10,0.996714,0.035650,-0.069561,0.021238,0.999208,-0.022515,-0.029390,0.014569,0.998853,0.045638,0.014346,0.001999,0.995359,0.070558,-0.065433,-0.000422,0.995638,0.035021,0.085726,-0.011401,0.998943,-0.030837,-0.032804,-0.009267,0.998659,-0.012454,-0.001307,-0.050239,0.994131,-0.103041,0.013527,0.030068,0.995133,-0.094612,-0.027502,-0.001587,0.996519,-0.042559,0.071557,0.004214,0.999319,0.031387,-0.012541,0.014795,0.997726,-0.016384,0.034593,0.055479,
