  ,// User name
28-5-2013,// Evaluation date
03Rprocessed (1),0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
91.967,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,0.131681,0.441695,1.304343,0.158708,0.476629,1.072967,0.213016,0.549551,0.840935,0.173608,0.326964,0.868392,0.089314,0.364102,0.437241,0.055645,0.375063,0.039972,0.103360,0.039239,1.283764,0.118157,0.013028,1.086559,0.153210,-0.070047,0.833299,0.168189,0.172306,0.850339,0.109314,0.134807,0.470131,0.075974,0.118557,0.050505,
1,0.131681,0.441695,1.304343,0.158707,0.476628,1.072967,0.213018,0.549550,0.840935,0.173607,0.326963,0.868392,0.089314,0.364102,0.437241,0.055647,0.375064,0.039971,0.103358,0.039238,1.283764,0.118160,0.013032,1.086559,0.153210,-0.070046,0.833299,0.168184,0.172307,0.850339,0.109321,0.134807,0.470129,0.075972,0.118555,0.050506,
2,0.131682,0.441695,1.304345,0.158706,0.476624,1.072968,0.213019,0.549546,0.840936,0.173606,0.326961,0.868391,0.089316,0.364101,0.437240,0.055651,0.375066,0.039971,0.103354,0.039236,1.283764,0.118163,0.013040,1.086558,0.153213,-0.070043,0.833300,0.168159,0.172304,0.850339,0.109374,0.134810,0.470116,0.075954,0.118547,0.050512,
3,0.131687,0.441695,1.304352,0.158705,0.476611,1.072972,0.213022,0.549531,0.840942,0.173601,0.326952,0.868391,0.089324,0.364097,0.437238,0.055659,0.375072,0.039969,0.103344,0.039229,1.283764,0.118169,0.013062,1.086556,0.153225,-0.070032,0.833303,0.168071,0.172291,0.850340,0.109565,0.134819,0.470072,0.075888,0.118522,0.050532,
4,0.131697,0.441694,1.304367,0.158703,0.476588,1.072982,0.213024,0.549504,0.840955,0.173592,0.326936,0.868392,0.089340,0.364090,0.437234,0.055673,0.375081,0.039967,0.103328,0.039215,1.283766,0.118175,0.013098,1.086552,0.153248,-0.070013,0.833309,0.167899,0.172261,0.850345,0.109948,0.134835,0.469987,0.075756,0.118473,0.050575,
5,0.131715,0.441690,1.304391,0.158701,0.476558,1.073000,0.213020,0.549466,0.840976,0.173580,0.326914,0.868394,0.089365,0.364079,0.437231,0.055686,0.375093,0.039966,0.103312,0.039194,1.283769,0.118176,0.013141,1.086549,0.153284,-0.069988,0.833316,0.167652,0.172212,0.850359,0.110521,0.134853,0.469870,0.075563,0.118400,0.050646,
6,0.131743,0.441683,1.304424,0.158698,0.476526,1.073025,0.213005,0.549427,0.841006,0.173567,0.326889,0.868399,0.089398,0.364067,0.437228,0.055695,0.375103,0.039966,0.103304,0.039167,1.283776,0.118171,0.013182,1.086547,0.153328,-0.069964,0.833326,0.167364,0.172148,0.850390,0.111227,0.134866,0.469746,0.075334,0.118313,0.050744,
7,0.131779,0.441673,1.304462,0.158694,0.476501,1.073057,0.212975,0.549396,0.841043,0.173553,0.326865,0.868406,0.089435,0.364057,0.437225,0.055699,0.375112,0.039968,0.103313,0.039139,1.283787,0.118169,0.013213,1.086550,0.153375,-0.069946,0.833339,0.167076,0.172082,0.850444,0.111980,0.134865,0.469642,0.075106,0.118222,0.050867,
8,0.131821,0.441663,1.304505,0.158687,0.476487,1.073093,0.212931,0.549382,0.841084,0.173538,0.326845,0.868413,0.089470,0.364050,0.437224,0.055699,0.375118,0.039971,0.103345,0.039111,1.283805,0.118179,0.013235,1.086559,0.153416,-0.069942,0.833356,0.166824,0.172025,0.850520,0.112694,0.134849,0.469575,0.074909,0.118139,0.051005,
9,0.131867,0.441655,1.304546,0.158678,0.476486,1.073129,0.212878,0.549391,0.841125,0.173523,0.326832,0.868419,0.089496,0.364048,0.437223,0.055696,0.375124,0.039975,0.103400,0.039086,1.283829,0.118209,0.013250,1.086576,0.153448,-0.069958,0.833379,0.166629,0.171984,0.850608,0.113306,0.134825,0.469548,0.074757,0.118069,0.051145,
10,0.131912,0.441649,1.304584,0.158669,0.476497,1.073163,0.212820,0.549424,0.841163,0.173509,0.326826,0.868422,0.089506,0.364048,0.437222,0.055693,0.375130,0.039978,0.103474,0.039063,1.283858,0.118259,0.013260,1.086599,0.153464,-0.069999,0.833409,0.166503,0.171961,0.850691,0.113764,0.134805,0.469549,0.074654,0.118017,0.051266,
11,0.131954,0.441645,1.304614,0.158664,0.476518,1.073192,0.212762,0.549480,0.841193,0.173498,0.326826,0.868424,0.089497,0.364047,0.437223,0.055691,0.375135,0.039980,0.103561,0.039042,1.283890,0.118324,0.013267,1.086625,0.153463,-0.070070,0.833445,0.166455,0.171952,0.850741,0.114009,0.134801,0.469558,0.074604,0.117988,0.051338,
12,0.131991,0.441642,1.304635,0.158664,0.476544,1.073213,0.212707,0.549555,0.841215,0.173490,0.326829,0.868424,0.089467,0.364041,0.437227,0.055688,0.375139,0.039982,0.103653,0.039022,1.283922,0.118397,0.013270,1.086653,0.153444,-0.070171,0.833486,0.166499,0.171953,0.850729,0.113961,0.134818,0.469557,0.074626,0.117995,0.051323,
13,0.132020,0.441640,1.304647,0.158669,0.476573,1.073226,0.212658,0.549646,0.841231,0.173486,0.326834,0.868423,0.089423,0.364029,0.437232,0.055686,0.375140,0.039983,0.103744,0.039003,1.283951,0.118470,0.013265,1.086678,0.153406,-0.070301,0.833530,0.166653,0.171961,0.850631,0.113536,0.134854,0.469537,0.074753,0.118054,0.051182,
14,0.132040,0.441640,1.304653,0.158677,0.476603,1.073235,0.212613,0.549747,0.841244,0.173485,0.326839,0.868424,0.089372,0.364011,0.437241,0.055683,0.375139,0.039985,0.103830,0.038984,1.283974,0.118536,0.013248,1.086700,0.153347,-0.070451,0.833573,0.166925,0.171977,0.850442,0.112700,0.134901,0.469501,0.075012,0.118172,0.050905,
15,0.132054,0.441641,1.304657,0.158685,0.476635,1.073244,0.212575,0.549853,0.841258,0.173489,0.326844,0.868426,0.089326,0.363991,0.437250,0.055680,0.375136,0.039988,0.103907,0.038965,1.283994,0.118593,0.013214,1.086720,0.153272,-0.070611,0.833614,0.167301,0.172002,0.850191,0.111528,0.134944,0.469472,0.075399,0.118340,0.050529,
16,0.132062,0.441644,1.304665,0.158689,0.476668,1.073256,0.212542,0.549958,0.841279,0.173496,0.326848,0.868430,0.089294,0.363973,0.437260,0.055679,0.375131,0.039992,0.103974,0.038941,1.284012,0.118634,0.013158,1.086741,0.153183,-0.070773,0.833654,0.167740,0.172039,0.849937,0.110218,0.134975,0.469479,0.075860,0.118528,0.050138,
