  ,// User name
28-5-2013,// Evaluation date
03Rprocessed (1),0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
91.967,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.996399,0.030920,-0.077372,0.015730,0.998759,-0.011217,-0.048453,-0.002733,0.998576,0.043331,0.016460,0.026423,0.995516,0.070886,-0.062596,-0.002397,0.992358,0.028812,0.115426,0.032756,0.998109,-0.032757,-0.050859,0.010873,0.998178,-0.017363,0.005234,-0.057540,0.993983,-0.097882,0.039136,-0.029738,0.995247,-0.090654,-0.035455,0.002951,0.993119,-0.065529,0.096795,0.007149,0.998807,0.028983,-0.032798,-0.021633,0.997604,-0.004623,0.044534,0.052734,
1,0.996398,0.030921,-0.077373,0.015727,0.998758,-0.011228,-0.048467,-0.002745,0.998576,0.043327,0.016463,0.026429,0.995515,0.070890,-0.062604,-0.002406,0.992356,0.028822,0.115439,0.032768,0.998109,-0.032757,-0.050858,0.010882,0.998177,-0.017383,0.005235,-0.057554,0.993985,-0.097871,0.039123,-0.029738,0.995246,-0.090673,-0.035438,0.002966,0.993120,-0.065520,0.096793,0.007173,0.998809,0.028978,-0.032774,-0.021589,0.997608,-0.004635,0.044522,0.052682,
2,0.996398,0.030925,-0.077373,0.015723,0.998757,-0.011246,-0.048490,-0.002767,0.998576,0.043316,0.016467,0.026445,0.995513,0.070895,-0.062619,-0.002426,0.992352,0.028839,0.115459,0.032786,0.998109,-0.032754,-0.050852,0.010899,0.998176,-0.017412,0.005228,-0.057573,0.993988,-0.097850,0.039107,-0.029721,0.995243,-0.090706,-0.035421,0.002970,0.993128,-0.065490,0.096718,0.007272,0.998819,0.028939,-0.032588,-0.021491,0.997621,-0.004645,0.044426,0.052516,
3,0.996399,0.030934,-0.077368,0.015711,0.998753,-0.011295,-0.048554,-0.002830,0.998576,0.043281,0.016477,0.026493,0.995509,0.070910,-0.062662,-0.002490,0.992343,0.028886,0.115512,0.032836,0.998110,-0.032746,-0.050829,0.010945,0.998172,-0.017494,0.005202,-0.057624,0.993998,-0.097784,0.039068,-0.029654,0.995235,-0.090805,-0.035385,0.002958,0.993160,-0.065392,0.096435,0.007615,0.998851,0.028800,-0.031913,-0.021184,0.997665,-0.004663,0.044079,0.051958,
4,0.996399,0.030952,-0.077355,0.015694,0.998747,-0.011372,-0.048657,-0.002927,0.998576,0.043220,0.016493,0.026576,0.995503,0.070933,-0.062735,-0.002603,0.992329,0.028960,0.115591,0.032913,0.998112,-0.032731,-0.050781,0.011019,0.998165,-0.017623,0.005148,-0.057704,0.994016,-0.097668,0.039013,-0.029508,0.995222,-0.090974,-0.035345,0.002899,0.993223,-0.065212,0.095847,0.008282,0.998913,0.028526,-0.030558,-0.020617,0.997751,-0.004659,0.043380,0.050885,
5,0.996401,0.030976,-0.077329,0.015678,0.998740,-0.011448,-0.048766,-0.003023,0.998576,0.043143,0.016514,0.026678,0.995495,0.070956,-0.062825,-0.002746,0.992316,0.029037,0.115662,0.032986,0.998116,-0.032709,-0.050706,0.011096,0.998158,-0.017764,0.005062,-0.057785,0.994039,-0.097521,0.038967,-0.029281,0.995203,-0.091182,-0.035333,0.002766,0.993317,-0.064978,0.094940,0.009246,0.999000,0.028133,-0.028537,-0.019833,0.997874,-0.004576,0.042336,0.049343,
6,0.996404,0.031002,-0.077287,0.015671,0.998735,-0.011493,-0.048847,-0.003074,0.998576,0.043070,0.016538,0.026770,0.995488,0.070973,-0.062914,-0.002886,0.992310,0.029090,0.115692,0.033029,0.998121,-0.032687,-0.050607,0.011142,0.998153,-0.017877,0.004956,-0.057843,0.994063,-0.097367,0.038945,-0.029009,0.995184,-0.091391,-0.035368,0.002577,0.993430,-0.064740,0.093792,0.010394,0.999098,0.027683,-0.026063,-0.018913,0.998018,-0.004347,0.041059,0.047495,
7,0.996407,0.031025,-0.077228,0.015677,0.998734,-0.011494,-0.048882,-0.003058,0.998577,0.043015,0.016565,0.026825,0.995482,0.070982,-0.062992,-0.002997,0.992312,0.029110,0.115665,0.033029,0.998128,-0.032670,-0.050496,0.011136,0.998151,-0.017939,0.004848,-0.057866,0.994084,-0.097229,0.038943,-0.028759,0.995164,-0.091579,-0.035441,0.002397,0.993546,-0.064547,0.092548,0.011579,0.999193,0.027252,-0.023453,-0.017932,0.998165,-0.003933,0.039715,0.045549,
8,0.996412,0.031043,-0.077153,0.015695,0.998735,-0.011457,-0.048874,-0.002977,0.998577,0.042991,0.016596,0.026826,0.995478,0.070985,-0.063050,-0.003062,0.992322,0.029102,0.115593,0.032998,0.998134,-0.032659,-0.050389,0.011076,0.998152,-0.017954,0.004754,-0.057861,0.994100,-0.097113,0.038945,-0.028595,0.995146,-0.091749,-0.035523,0.002305,0.993652,-0.064421,0.091357,0.012672,0.999274,0.026895,-0.021011,-0.016958,0.998299,-0.003351,0.038460,0.043699,
9,0.996418,0.031052,-0.077069,0.015725,0.998738,-0.011404,-0.048833,-0.002860,0.998578,0.042999,0.016627,0.026772,0.995475,0.070989,-0.063089,-0.003086,0.992335,0.029082,0.115495,0.032958,0.998140,-0.032655,-0.050306,0.010977,0.998154,-0.017940,0.004690,-0.057842,0.994111,-0.097018,0.038936,-0.028542,0.995128,-0.091921,-0.035580,0.002340,0.993737,-0.064355,0.090333,0.013573,0.999337,0.026628,-0.018954,-0.016066,0.998409,-0.002692,0.037402,0.042104,
10,0.996424,0.031050,-0.076984,0.015769,0.998742,-0.011352,-0.048767,-0.002739,0.998578,0.043038,0.016654,0.026681,0.995473,0.071002,-0.063105,-0.003092,0.992349,0.029060,0.115393,0.032929,0.998143,-0.032652,-0.050261,0.010869,0.998155,-0.017915,0.004658,-0.057824,0.994119,-0.096932,0.038918,-0.028580,0.995109,-0.092121,-0.035587,0.002483,0.993800,-0.064328,0.089558,0.014206,0.999380,0.026442,-0.017438,-0.015356,0.998489,-0.002098,0.036619,0.040911,
