  ,// User name
28-5-2013,// Evaluation date
03uprocessed (1),0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
38.750,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.068133,0.491510,1.301751,-0.038754,0.521186,1.069928,0.020339,0.586436,0.836969,0.012317,0.306090,0.873918,-0.122646,0.389512,0.462577,-0.169515,0.382489,0.039309,-0.153057,0.086830,1.395489,-0.151146,-0.107417,1.350105,-0.107068,-0.171387,1.552509,-0.005282,0.245177,0.864754,-0.108048,0.182683,0.497379,-0.151912,0.187977,0.050327,
1,-0.068134,0.491518,1.301752,-0.038755,0.521193,1.069929,0.020340,0.586446,0.836970,0.012317,0.306102,0.873920,-0.122645,0.389517,0.462578,-0.169514,0.382490,0.039308,-0.153051,0.086841,1.395488,-0.151117,-0.107412,1.350126,-0.107060,-0.171637,1.552479,-0.005280,0.245184,0.864754,-0.108045,0.182693,0.497378,-0.151908,0.187978,0.050327,
2,-0.068140,0.491541,1.301755,-0.038756,0.521211,1.069931,0.020343,0.586478,0.836977,0.012321,0.306128,0.873925,-0.122643,0.389530,0.462580,-0.169513,0.382490,0.039307,-0.153038,0.086871,1.395490,-0.151032,-0.107399,1.350203,-0.107040,-0.172412,1.552374,-0.005273,0.245209,0.864753,-0.108039,0.182716,0.497378,-0.151899,0.187981,0.050327,
3,-0.068162,0.491618,1.301764,-0.038759,0.521272,1.069941,0.020355,0.586584,0.836997,0.012333,0.306210,0.873940,-0.122634,0.389572,0.462588,-0.169512,0.382491,0.039305,-0.152994,0.086970,1.395502,-0.150751,-0.107355,1.350468,-0.106977,-0.175017,1.552003,-0.005249,0.245293,0.864750,-0.108024,0.182784,0.497379,-0.151874,0.187991,0.050331,
4,-0.068210,0.491765,1.301779,-0.038763,0.521391,1.069958,0.020380,0.586790,0.837038,0.012359,0.306358,0.873966,-0.122618,0.389650,0.462603,-0.169512,0.382494,0.039303,-0.152916,0.087160,1.395530,-0.150212,-0.107273,1.350988,-0.106862,-0.180048,1.551224,-0.005200,0.245454,0.864741,-0.107999,0.182906,0.497384,-0.151828,0.188012,0.050338,
5,-0.068288,0.491975,1.301798,-0.038770,0.521566,1.069981,0.020418,0.587088,0.837096,0.012400,0.306557,0.873999,-0.122590,0.389759,0.462623,-0.169514,0.382498,0.039305,-0.152815,0.087434,1.395577,-0.149437,-0.107153,1.351757,-0.106707,-0.187340,1.549955,-0.005126,0.245684,0.864725,-0.107974,0.183065,0.497394,-0.151770,0.188042,0.050349,
6,-0.068398,0.492229,1.301814,-0.038782,0.521784,1.070005,0.020465,0.587449,0.837164,0.012456,0.306774,0.874035,-0.122548,0.389886,0.462644,-0.169519,0.382503,0.039312,-0.152709,0.087767,1.395645,-0.148498,-0.107002,1.352716,-0.106533,-0.196254,1.548166,-0.005035,0.245958,0.864704,-0.107957,0.183238,0.497411,-0.151709,0.188079,0.050361,
7,-0.068538,0.492503,1.301820,-0.038803,0.522033,1.070023,0.020518,0.587833,0.837232,0.012522,0.306979,0.874067,-0.122488,0.390014,0.462663,-0.169524,0.382508,0.039325,-0.152610,0.088132,1.395733,-0.147472,-0.106830,1.353794,-0.106362,-0.206040,1.545873,-0.004941,0.246239,0.864680,-0.107951,0.183405,0.497431,-0.151655,0.188120,0.050371,
8,-0.068701,0.492782,1.301812,-0.038839,0.522298,1.070030,0.020571,0.588203,0.837289,0.012597,0.307153,0.874094,-0.122407,0.390131,0.462677,-0.169528,0.382513,0.039340,-0.152524,0.088509,1.395839,-0.146425,-0.106644,1.354931,-0.106208,-0.216085,1.543116,-0.004860,0.246498,0.864658,-0.107955,0.183557,0.497451,-0.151611,0.188162,0.050379,
9,-0.068881,0.493053,1.301790,-0.038891,0.522568,1.070024,0.020621,0.588529,0.837332,0.012676,0.307286,0.874115,-0.122305,0.390231,0.462683,-0.169527,0.382516,0.039356,-0.152452,0.088880,1.395968,-0.145397,-0.106456,1.356096,-0.106084,-0.226000,1.539930,-0.004802,0.246716,0.864643,-0.107965,0.183693,0.497470,-0.151577,0.188202,0.050382,
