  ,// User name
28-5-2013,// Evaluation date
03uprocessed (1),0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
38.750,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.996151,0.022462,-0.077674,-0.033836,0.999585,-0.026368,-0.010270,-0.005456,0.998938,0.042183,0.018476,-0.001288,0.995563,0.074642,-0.057244,-0.002584,0.985240,0.097148,0.135923,0.037280,0.987037,-0.102494,-0.104263,-0.066203,0.998922,-0.006100,-0.001580,-0.045993,0.492273,-0.384989,-0.507938,-0.592832,0.747805,0.274007,-0.593197,0.117578,0.989571,-0.085307,0.116066,0.001058,0.992623,0.083721,-0.086652,0.013450,0.997405,-0.022514,0.041220,0.054565,
1,0.996151,0.022460,-0.077675,-0.033830,0.999584,-0.026373,-0.010279,-0.005447,0.998938,0.042182,0.018476,-0.001283,0.995562,0.074650,-0.057249,-0.002568,0.985240,0.097145,0.135930,0.037266,0.987037,-0.102491,-0.104263,-0.066203,0.998922,-0.006108,-0.001575,-0.045992,0.492477,-0.385137,-0.507868,-0.592626,0.748241,0.273634,-0.592866,0.117348,0.989571,-0.085299,0.116071,0.001043,0.992624,0.083705,-0.086655,0.013480,0.997405,-0.022474,0.041251,0.054550,
2,0.996152,0.022445,-0.077684,-0.033812,0.999584,-0.026375,-0.010294,-0.005429,0.998938,0.042187,0.018471,-0.001252,0.995559,0.074682,-0.057260,-0.002597,0.985240,0.097134,0.135945,0.037231,0.987038,-0.102487,-0.104264,-0.066194,0.998922,-0.006108,-0.001579,-0.045991,0.493024,-0.385535,-0.507709,-0.592049,0.749572,0.272542,-0.591808,0.116731,0.989569,-0.085300,0.116087,0.001007,0.992624,0.083686,-0.086666,0.013522,0.997405,-0.022402,0.041301,0.054545,
3,0.996152,0.022391,-0.077717,-0.033752,0.999584,-0.026378,-0.010337,-0.005377,0.998938,0.042210,0.018450,-0.001142,0.995548,0.074789,-0.057294,-0.002739,0.985242,0.097094,0.135991,0.037122,0.987041,-0.102478,-0.104262,-0.066160,0.998922,-0.006099,-0.001605,-0.045993,0.494810,-0.386835,-0.507202,-0.590142,0.754020,0.268906,-0.588208,0.114697,0.989561,-0.085316,0.116140,0.000896,0.992623,0.083642,-0.086701,0.013631,0.997404,-0.022187,0.041440,0.054552,
4,0.996154,0.022281,-0.077783,-0.033636,0.999584,-0.026378,-0.010408,-0.005294,0.998937,0.042263,0.018401,-0.000922,0.995528,0.074998,-0.057360,-0.003082,0.985246,0.097016,0.136071,0.036930,0.987048,-0.102468,-0.104257,-0.066085,0.998922,-0.006063,-0.001675,-0.046000,0.498175,-0.389286,-0.506262,-0.586496,0.762521,0.261917,-0.581110,0.110780,0.989546,-0.085368,0.116238,0.000703,0.992620,0.083582,-0.086771,0.013796,0.997400,-0.021813,0.041664,0.054603,
5,0.996155,0.022111,-0.077882,-0.033470,0.999584,-0.026375,-0.010485,-0.005219,0.998934,0.042364,0.018316,-0.000588,0.995498,0.075294,-0.057452,-0.003695,0.985252,0.096904,0.136169,0.036693,0.987058,-0.102465,-0.104242,-0.065966,0.998921,-0.005985,-0.001808,-0.046011,0.502918,-0.392746,-0.504950,-0.581248,0.774650,0.251805,-0.570500,0.105080,0.989521,-0.085474,0.116370,0.000468,0.992612,0.083541,-0.086877,0.013953,0.997392,-0.021346,0.041915,0.054737,
6,0.996157,0.021888,-0.078006,-0.033272,0.999583,-0.026371,-0.010547,-0.005205,0.998930,0.042520,0.018192,-0.000162,0.995462,0.075633,-0.057563,-0.004577,0.985260,0.096775,0.136263,0.036478,0.987070,-0.102476,-0.104209,-0.065813,0.998921,-0.005863,-0.002004,-0.046022,0.508547,-0.396860,-0.503404,-0.574862,0.789165,0.239401,-0.557033,0.098083,0.989491,-0.085633,0.116514,0.000258,0.992599,0.083540,-0.087007,0.014047,0.997381,-0.020881,0.042123,0.054967,
7,0.996159,0.021630,-0.078141,-0.033063,0.999582,-0.026378,-0.010586,-0.005298,0.998924,0.042735,0.018034,0.000316,0.995426,0.075950,-0.057685,-0.005635,0.985266,0.096646,0.136342,0.036349,0.987085,-0.102504,-0.104149,-0.065647,0.998922,-0.005715,-0.002240,-0.046021,0.514535,-0.401252,-0.501769,-0.567872,0.804701,0.225649,-0.541623,0.090454,0.989459,-0.085820,0.116646,0.000136,0.992584,0.083578,-0.087140,0.014059,0.997366,-0.020492,0.042256,0.055268,
8,0.996161,0.021353,-0.078275,-0.032862,0.999580,-0.026398,-0.010611,-0.005519,0.998915,0.042999,0.017858,0.000805,0.995394,0.076186,-0.057812,-0.006707,0.985268,0.096530,0.136410,0.036336,0.987101,-0.102545,-0.104056,-0.065484,0.998923,-0.005570,-0.002483,-0.046005,0.520442,-0.405602,-0.500190,-0.560747,0.820204,0.211344,-0.525101,0.082879,0.989430,-0.086006,0.116754,0.000130,0.992570,0.083631,-0.087257,0.014017,0.997352,-0.020207,0.042317,0.055588,
9,0.996163,0.021073,-0.078406,-0.032681,0.999577,-0.026429,-0.010644,-0.005856,0.998905,0.043290,0.017681,0.001268,0.995371,0.076301,-0.057935,-0.007613,0.985265,0.096429,0.136480,0.036436,0.987121,-0.102596,-0.103924,-0.065322,0.998923,-0.005451,-0.002705,-0.045988,0.525931,-0.409662,-0.498816,-0.553856,0.835061,0.197068,-0.508005,0.075949,0.989406,-0.086170,0.116838,0.000226,0.992560,0.083672,-0.087343,0.013967,0.997339,-0.020019,0.042334,0.055882,
