  ,// User name
28-5-2013,// Evaluation date
03wprocessed (1),0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
41.583,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.419953,0.483158,1.302607,-0.395887,0.516655,1.070692,-0.343183,0.584955,0.837150,-0.393106,0.359585,0.864093,-0.470338,0.396391,0.431593,-0.517104,0.404789,0.038473,-0.468978,0.058873,1.347259,-0.456570,-0.106754,1.236763,-0.393224,-0.332613,1.239063,-0.393996,0.206790,0.847867,-0.446042,0.175169,0.466131,-0.489019,0.166434,0.048292,
1,-0.419946,0.483160,1.302603,-0.395886,0.516649,1.070686,-0.343181,0.584941,0.837141,-0.393091,0.359584,0.864094,-0.470336,0.396391,0.431597,-0.517104,0.404789,0.038472,-0.468983,0.058890,1.347317,-0.456579,-0.106805,1.236923,-0.393257,-0.332663,1.239504,-0.393993,0.206788,0.847867,-0.446044,0.175170,0.466132,-0.489008,0.166429,0.048291,
2,-0.419928,0.483167,1.302589,-0.395880,0.516630,1.070667,-0.343176,0.584898,0.837114,-0.393063,0.359576,0.864096,-0.470333,0.396390,0.431604,-0.517108,0.404791,0.038474,-0.469005,0.058941,1.347504,-0.456599,-0.106957,1.237415,-0.393365,-0.332791,1.240752,-0.393989,0.206779,0.847869,-0.446048,0.175168,0.466134,-0.488995,0.166431,0.048290,
3,-0.419868,0.483190,1.302542,-0.395860,0.516566,1.070603,-0.343159,0.584753,0.837023,-0.392978,0.359548,0.864101,-0.470323,0.396384,0.431624,-0.517124,0.404797,0.038480,-0.469087,0.059109,1.348137,-0.456666,-0.107462,1.239072,-0.393736,-0.333197,1.244885,-0.393978,0.206744,0.847874,-0.446062,0.175160,0.466141,-0.488963,0.166443,0.048292,
4,-0.419755,0.483238,1.302448,-0.395821,0.516445,1.070477,-0.343127,0.584475,0.836844,-0.392831,0.359489,0.864109,-0.470305,0.396371,0.431659,-0.517157,0.404810,0.038491,-0.469254,0.059429,1.349371,-0.456795,-0.108421,1.242287,-0.394480,-0.333926,1.252757,-0.393964,0.206674,0.847885,-0.446086,0.175141,0.466152,-0.488920,0.166475,0.048297,
5,-0.419596,0.483310,1.302304,-0.395763,0.516275,1.070289,-0.343082,0.584074,0.836579,-0.392646,0.359395,0.864115,-0.470283,0.396350,0.431700,-0.517208,0.404828,0.038508,-0.469509,0.059883,1.351176,-0.456985,-0.109770,1.246981,-0.395617,-0.334870,1.263942,-0.393953,0.206566,0.847901,-0.446118,0.175106,0.466168,-0.488888,0.166534,0.048307,
6,-0.419408,0.483405,1.302117,-0.395688,0.516076,1.070048,-0.343031,0.583592,0.836242,-0.392453,0.359268,0.864114,-0.470258,0.396318,0.431738,-0.517274,0.404850,0.038528,-0.469838,0.060434,1.353403,-0.457225,-0.111345,1.252763,-0.397096,-0.335861,1.277231,-0.393953,0.206425,0.847920,-0.446157,0.175055,0.466186,-0.488884,0.166613,0.048323,
7,-0.419209,0.483520,1.301895,-0.395601,0.515872,1.069770,-0.342981,0.583074,0.835855,-0.392277,0.359114,0.864105,-0.470234,0.396276,0.431765,-0.517346,0.404871,0.038548,-0.470219,0.061046,1.355863,-0.457501,-0.112965,1.259146,-0.398828,-0.336772,1.291255,-0.393966,0.206261,0.847943,-0.446201,0.174991,0.466204,-0.488909,0.166700,0.048341,
8,-0.419008,0.483654,1.301650,-0.395504,0.515683,1.069469,-0.342939,0.582561,0.835439,-0.392123,0.358940,0.864085,-0.470211,0.396226,0.431780,-0.517414,0.404891,0.038565,-0.470629,0.061700,1.358390,-0.457797,-0.114482,1.265704,-0.400711,-0.337553,1.304903,-0.393993,0.206086,0.847968,-0.446251,0.174917,0.466224,-0.488953,0.166777,0.048357,
9,-0.418809,0.483807,1.301393,-0.395394,0.515521,1.069161,-0.342902,0.582080,0.835012,-0.391989,0.358755,0.864058,-0.470191,0.396169,0.431785,-0.517474,0.404908,0.038579,-0.471057,0.062393,1.360867,-0.458100,-0.115807,1.272140,-0.402659,-0.338226,1.317495,-0.394029,0.205908,0.847995,-0.446305,0.174837,0.466245,-0.489004,0.166833,0.048367,
