  ,// User name
28-5-2013,// Evaluation date
03wprocessed (1),0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
41.583,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.959559,0.097333,0.263130,0.023133,0.999233,-0.026511,-0.028738,0.002226,0.949266,-0.026780,-0.313229,-0.007974,0.995870,0.068759,-0.056870,0.016758,0.995274,0.040637,0.088171,0.002240,0.999081,-0.031518,-0.028836,-0.003436,0.998252,-0.007106,-0.012163,-0.057389,0.466095,-0.206206,-0.558982,-0.654044,0.947097,0.100323,-0.295695,0.074213,0.996769,-0.042423,0.068157,0.002629,0.999390,0.030221,-0.016697,0.005289,0.997306,-0.004868,0.030611,0.066477,
1,0.959561,0.097326,0.263127,0.023118,0.999233,-0.026520,-0.028737,0.002216,0.949271,-0.026789,-0.313215,-0.007966,0.995869,0.068762,-0.056882,0.016743,0.995272,0.040645,0.088187,0.002235,0.999081,-0.031517,-0.028848,-0.003427,0.998253,-0.007109,-0.012167,-0.057384,0.465933,-0.206401,-0.559123,-0.653977,0.947042,0.100350,-0.295912,0.074008,0.996769,-0.042413,0.068161,0.002617,0.999389,0.030212,-0.016726,0.005346,0.997306,-0.004796,0.030666,0.066462,
2,0.959569,0.097298,0.263112,0.023072,0.999232,-0.026539,-0.028745,0.002183,0.949285,-0.026810,-0.313172,-0.007946,0.995868,0.068768,-0.056910,0.016704,0.995268,0.040663,0.088227,0.002222,0.999081,-0.031516,-0.028866,-0.003408,0.998254,-0.007099,-0.012187,-0.057358,0.465340,-0.206859,-0.559594,-0.653852,0.946906,0.100436,-0.296420,0.073603,0.996769,-0.042390,0.068176,0.002599,0.999389,0.030206,-0.016761,0.005390,0.997303,-0.004715,0.030754,0.066472,
3,0.959597,0.097200,0.263060,0.022922,0.999230,-0.026598,-0.028773,0.002070,0.949330,-0.026877,-0.313030,-0.007881,0.995864,0.068789,-0.056999,0.016584,0.995254,0.040722,0.088355,0.002181,0.999079,-0.031515,-0.028915,-0.003351,0.998259,-0.007058,-0.012258,-0.057266,0.463284,-0.208313,-0.561200,-0.653474,0.946466,0.100727,-0.298026,0.072370,0.996769,-0.042319,0.068226,0.002553,0.999387,0.030200,-0.016849,0.005474,0.997292,-0.004513,0.031001,0.066534,
4,0.959652,0.097001,0.262957,0.022635,0.999226,-0.026703,-0.028831,0.001847,0.949417,-0.026994,-0.312760,-0.007766,0.995855,0.068826,-0.057156,0.016377,0.995229,0.040828,0.088589,0.002103,0.999077,-0.031513,-0.028994,-0.003251,0.998268,-0.006970,-0.012404,-0.057077,0.459199,-0.210974,-0.564335,-0.652803,0.945657,0.101271,-0.300916,0.070196,0.996768,-0.042190,0.068318,0.002485,0.999384,0.030204,-0.016971,0.005548,0.997271,-0.004228,0.031395,0.066690,
5,0.959735,0.096690,0.262804,0.022224,0.999220,-0.026837,-0.028916,0.001517,0.949539,-0.027134,-0.312379,-0.007622,0.995845,0.068871,-0.057357,0.016135,0.995195,0.040967,0.088903,0.001991,0.999075,-0.031513,-0.029085,-0.003127,0.998284,-0.006836,-0.012626,-0.056779,0.453087,-0.214577,-0.568928,-0.651912,0.944578,0.102006,-0.304671,0.067399,0.996767,-0.042020,0.068437,0.002420,0.999382,0.030230,-0.017077,0.005531,0.997240,-0.003973,0.031818,0.066969,
6,0.959840,0.096278,0.262613,0.021731,0.999215,-0.026973,-0.029009,0.001106,0.949684,-0.027259,-0.311931,-0.007481,0.995834,0.068912,-0.057552,0.015940,0.995159,0.041115,0.089240,0.001852,0.999073,-0.031517,-0.029171,-0.003015,0.998304,-0.006674,-0.012904,-0.056375,0.445414,-0.218665,-0.574578,-0.650886,0.943442,0.102777,-0.308551,0.064423,0.996767,-0.041839,0.068555,0.002378,0.999380,0.030281,-0.017128,0.005399,0.997204,-0.003831,0.032140,0.067361,
7,0.959959,0.095782,0.262403,0.021199,0.999210,-0.027090,-0.029082,0.000651,0.949836,-0.027334,-0.311465,-0.007374,0.995825,0.068941,-0.057696,0.015860,0.995127,0.041253,0.089546,0.001698,0.999071,-0.031525,-0.029247,-0.002947,0.998329,-0.006515,-0.013199,-0.055884,0.436891,-0.222867,-0.580765,-0.649745,0.942487,0.103382,-0.311833,0.061562,0.996768,-0.041670,0.068642,0.002363,0.999379,0.030344,-0.017127,0.005211,0.997168,-0.003794,0.032287,0.067817,
8,0.960083,0.095230,0.262193,0.020661,0.999206,-0.027182,-0.029117,0.000184,0.949982,-0.027347,-0.311019,-0.007307,0.995819,0.068956,-0.057763,0.015912,0.995100,0.041375,0.089790,0.001549,0.999068,-0.031539,-0.029318,-0.002937,0.998356,-0.006381,-0.013473,-0.055340,0.428264,-0.227025,-0.587015,-0.648432,0.941912,0.103602,-0.314010,0.058870,0.996771,-0.041524,0.068680,0.002372,0.999379,0.030403,-0.017104,0.005056,0.997137,-0.003802,0.032266,0.068276,
9,0.960205,0.094657,0.261996,0.020125,0.999204,-0.027259,-0.029110,-0.000279,0.950115,-0.027312,-0.310616,-0.007264,0.995817,0.068965,-0.057748,0.016047,0.995079,0.041492,0.089971,0.001435,0.999065,-0.031559,-0.029394,-0.002977,0.998384,-0.006279,-0.013693,-0.054794,0.420166,-0.231178,-0.592983,-0.646829,0.941837,0.103234,-0.314847,0.056180,0.996777,-0.041394,0.068673,0.002403,0.999378,0.030446,-0.017090,0.004995,0.997113,-0.003803,0.032136,0.068685,
10,0.960319,0.094097,0.261820,0.019586,0.999203,-0.027335,-0.029076,-0.000732,0.950233,-0.027258,-0.310261,-0.007210,0.995819,0.068975,-0.057669,0.016179,0.995061,0.041616,0.090110,0.001384,0.999062,-0.031585,-0.029479,-0.003045,0.998410,-0.006205,-0.013847,-0.054296,0.413071,-0.235490,-0.598460,-0.644796,0.942298,0.102126,-0.314351,0.053174,0.996785,-0.041268,0.068637,0.002457,0.999377,0.030472,-0.017101,0.005038,0.997096,-0.003787,0.031981,0.069009,
