  ,// User name
21-5-2013,// Evaluation date
04Lprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
48.367,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.133757,0.558266,1.484195,-0.139743,0.581856,1.188619,-0.049662,0.570008,0.968595,-0.124701,0.424902,1.005284,-0.168543,0.452351,0.514427,-0.247653,0.456196,0.064810,-0.149493,0.136273,1.481478,-0.162123,0.113050,1.198558,-0.061302,0.148636,0.965886,-0.147538,0.249034,0.997108,-0.199689,0.222056,0.542651,-0.255780,0.223015,0.067152,
1,-0.133733,0.558287,1.484190,-0.139739,0.581877,1.188615,-0.049675,0.570025,0.968582,-0.124687,0.424918,1.005283,-0.168526,0.452359,0.514426,-0.247653,0.456197,0.064811,-0.149472,0.136294,1.481478,-0.162121,0.113065,1.198560,-0.061321,0.148635,0.965874,-0.147526,0.249057,0.997109,-0.199678,0.222079,0.542651,-0.255779,0.223022,0.067154,
2,-0.133668,0.558346,1.484173,-0.139727,0.581935,1.188599,-0.049696,0.570067,0.968550,-0.124654,0.424960,1.005281,-0.168473,0.452380,0.514421,-0.247650,0.456198,0.064813,-0.149406,0.136354,1.481476,-0.162117,0.113101,1.198563,-0.061389,0.148632,0.965837,-0.147494,0.249116,0.997108,-0.199650,0.222135,0.542651,-0.255774,0.223036,0.067157,
3,-0.133452,0.558544,1.484115,-0.139686,0.582127,1.188544,-0.049755,0.570204,0.968447,-0.124547,0.425100,1.005274,-0.168294,0.452447,0.514403,-0.247635,0.456203,0.064823,-0.149187,0.136555,1.481471,-0.162108,0.113218,1.198574,-0.061623,0.148618,0.965717,-0.147388,0.249310,0.997104,-0.199561,0.222313,0.542650,-0.255756,0.223082,0.067170,
4,-0.133046,0.558923,1.484002,-0.139611,0.582493,1.188437,-0.049845,0.570463,0.968257,-0.124348,0.425366,1.005262,-0.167949,0.452573,0.514370,-0.247601,0.456211,0.064842,-0.148764,0.136936,1.481457,-0.162095,0.113433,1.198593,-0.062084,0.148590,0.965487,-0.147186,0.249673,0.997094,-0.199399,0.222636,0.542647,-0.255718,0.223164,0.067191,
5,-0.132475,0.559467,1.483832,-0.139507,0.583016,1.188277,-0.049925,0.570837,0.968002,-0.124073,0.425745,1.005244,-0.167449,0.452746,0.514321,-0.247546,0.456224,0.064868,-0.148148,0.137478,1.481435,-0.162087,0.113726,1.198621,-0.062769,0.148536,0.965161,-0.146899,0.250180,0.997073,-0.199190,0.223067,0.542640,-0.255662,0.223274,0.067218,
6,-0.131804,0.560127,1.483618,-0.139385,0.583643,1.188073,-0.049945,0.571300,0.967720,-0.123758,0.426200,1.005226,-0.166838,0.452940,0.514262,-0.247469,0.456241,0.064894,-0.147389,0.138121,1.481406,-0.162099,0.114054,1.198658,-0.063630,0.148443,0.964776,-0.146560,0.250766,0.997041,-0.198976,0.223535,0.542629,-0.255594,0.223391,0.067247,
7,-0.131101,0.560851,1.483371,-0.139253,0.584319,1.187838,-0.049868,0.571829,0.967448,-0.123441,0.426689,1.005209,-0.166165,0.453127,0.514198,-0.247375,0.456262,0.064916,-0.146540,0.138801,1.481377,-0.162143,0.114374,1.198707,-0.064599,0.148287,0.964373,-0.146212,0.251365,0.996998,-0.198801,0.223975,0.542615,-0.255526,0.223498,0.067272,
8,-0.130409,0.561598,1.483105,-0.139112,0.585000,1.187582,-0.049678,0.572401,0.967213,-0.123153,0.427180,1.005197,-0.165475,0.453287,0.514134,-0.247273,0.456287,0.064926,-0.145642,0.139469,1.481356,-0.162225,0.114659,1.198776,-0.065609,0.148044,0.963989,-0.145893,0.251921,0.996948,-0.198692,0.224346,0.542601,-0.255470,0.223580,0.067293,
9,-0.129746,0.562346,1.482830,-0.138954,0.585665,1.187316,-0.049384,0.572994,0.967028,-0.122915,0.427646,1.005189,-0.164801,0.453411,0.514071,-0.247171,0.456313,0.064925,-0.144718,0.140100,1.481356,-0.162344,0.114893,1.198874,-0.066610,0.147698,0.963651,-0.145631,0.252404,0.996898,-0.198660,0.224634,0.542590,-0.255432,0.223634,0.067310,
