  ,// User name
21-5-2013,// Evaluation date
04Rprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
90.133,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.068858,0.529485,1.489389,-0.064020,0.545063,1.193263,0.042121,0.523416,0.981256,-0.044515,0.399209,1.011097,-0.085297,0.412715,0.519395,-0.161129,0.399191,0.064528,-0.093251,0.109654,1.488851,-0.141619,0.098512,1.209068,0.012120,-0.024322,1.014385,-0.050004,0.228270,1.000179,-0.105409,0.205547,0.545874,-0.164457,0.219467,0.067168,
1,-0.068855,0.529481,1.489392,-0.064021,0.545054,1.193265,0.042125,0.523383,0.981259,-0.044520,0.399213,1.011098,-0.085303,0.412718,0.519396,-0.161129,0.399192,0.064528,-0.093277,0.109653,1.488860,-0.141666,0.098500,1.209081,0.012132,-0.024652,1.014596,-0.050004,0.228272,1.000179,-0.105408,0.205553,0.545874,-0.164458,0.219464,0.067167,
2,-0.068841,0.529476,1.489398,-0.064004,0.545041,1.193271,0.042145,0.523301,0.981267,-0.044535,0.399226,1.011101,-0.085316,0.412727,0.519400,-0.161131,0.399194,0.064531,-0.093350,0.109651,1.488893,-0.141768,0.098452,1.209121,0.012192,-0.025664,1.015305,-0.050000,0.228283,1.000178,-0.105405,0.205568,0.545872,-0.164459,0.219460,0.067165,
3,-0.068792,0.529461,1.489418,-0.063939,0.545003,1.193290,0.042215,0.523036,0.981296,-0.044584,0.399270,1.011114,-0.085358,0.412754,0.519411,-0.161137,0.399202,0.064540,-0.093591,0.109644,1.489005,-0.142089,0.098280,1.209253,0.012395,-0.029068,1.017737,-0.049986,0.228322,1.000172,-0.105396,0.205616,0.545867,-0.164460,0.219447,0.067159,
4,-0.068694,0.529438,1.489456,-0.063796,0.544947,1.193327,0.042356,0.522547,0.981352,-0.044676,0.399353,1.011138,-0.085433,0.412806,0.519433,-0.161149,0.399218,0.064559,-0.094047,0.109626,1.489227,-0.142661,0.097931,1.209509,0.012762,-0.035644,1.022588,-0.049953,0.228401,1.000158,-0.105384,0.205705,0.545855,-0.164458,0.219428,0.067146,
5,-0.068547,0.529417,1.489510,-0.063557,0.544894,1.193381,0.042573,0.521887,0.981432,-0.044803,0.399471,1.011172,-0.085527,0.412877,0.519463,-0.161165,0.399239,0.064585,-0.094687,0.109592,1.489560,-0.143391,0.097381,1.209880,0.013226,-0.045175,1.029974,-0.049899,0.228520,1.000134,-0.105372,0.205823,0.545835,-0.164450,0.219409,0.067128,
6,-0.068364,0.529409,1.489574,-0.063224,0.544871,1.193446,0.042852,0.521161,0.981529,-0.044946,0.399610,1.011210,-0.085621,0.412954,0.519495,-0.161182,0.399262,0.064615,-0.095429,0.109526,1.489988,-0.144104,0.096627,1.210334,0.013678,-0.056793,1.039604,-0.049825,0.228668,1.000099,-0.105370,0.205950,0.545811,-0.164435,0.219397,0.067106,
7,-0.068163,0.529423,1.489641,-0.062821,0.544896,1.193517,0.043171,0.520485,0.981630,-0.045083,0.399752,1.011246,-0.085692,0.413027,0.519524,-0.161196,0.399282,0.064644,-0.096177,0.109404,1.490492,-0.144608,0.095665,1.210836,0.014023,-0.069433,1.051012,-0.049739,0.228827,1.000059,-0.105383,0.206066,0.545785,-0.164414,0.219393,0.067086,
8,-0.067963,0.529459,1.489703,-0.062387,0.544971,1.193586,0.043509,0.519945,0.981721,-0.045198,0.399883,1.011273,-0.085726,0.413085,0.519543,-0.161204,0.399295,0.064666,-0.096846,0.109195,1.491054,-0.144731,0.094478,1.211353,0.014217,-0.082163,1.063718,-0.049653,0.228978,1.000018,-0.105409,0.206159,0.545761,-0.164394,0.219397,0.067068,
9,-0.067776,0.529514,1.489755,-0.061961,0.545084,1.193646,0.043847,0.519592,0.981790,-0.045281,0.399990,1.011288,-0.085715,0.413123,0.519547,-0.161205,0.399299,0.064681,-0.097380,0.108867,1.491665,-0.144357,0.093043,1.211871,0.014267,-0.094319,1.077322,-0.049575,0.229104,0.999984,-0.105445,0.206226,0.545744,-0.164377,0.219405,0.067056,
