  ,// User name
21-5-2013,// Evaluation date
04Rprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
90.133,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.999578,-0.014636,-0.023007,-0.010027,0.999082,0.018327,-0.035342,0.015803,0.992210,0.042362,0.010612,0.116673,0.953236,-0.087683,-0.248859,-0.147383,0.998098,0.017210,0.058736,-0.007399,0.998670,-0.026044,0.043198,-0.010705,0.999803,0.009995,0.007550,-0.015379,0.993858,-0.009699,0.107853,-0.022808,0.876257,-0.091713,-0.403686,-0.246577,0.996666,-0.020421,0.078987,-0.001235,0.999167,0.038506,-0.001258,0.013492,0.998718,-0.017568,0.046496,-0.009603,
1,0.999578,-0.014639,-0.023012,-0.010035,0.999084,0.018331,-0.035300,0.015808,0.992225,0.042355,0.010630,0.116541,0.953237,-0.087670,-0.248883,-0.147343,0.998100,0.017204,0.058696,-0.007413,0.998670,-0.026046,0.043192,-0.010697,0.999803,0.010001,0.007551,-0.015377,0.993851,-0.009730,0.107892,-0.022910,0.875965,-0.092061,-0.404075,-0.246846,0.996669,-0.020421,0.078945,-0.001235,0.999167,0.038493,-0.001256,0.013504,0.998718,-0.017535,0.046499,-0.009617,
2,0.999577,-0.014650,-0.023031,-0.010063,0.999085,0.018337,-0.035235,0.015826,0.992259,0.042351,0.010659,0.116256,0.953231,-0.087668,-0.248924,-0.147317,0.998104,0.017193,0.058629,-0.007459,0.998671,-0.026050,0.043184,-0.010664,0.999803,0.010037,0.007548,-0.015370,0.993835,-0.009846,0.107955,-0.023255,0.875114,-0.093241,-0.405288,-0.247433,0.996674,-0.020421,0.078881,-0.001246,0.999167,0.038469,-0.001257,0.013535,0.998719,-0.017450,0.046509,-0.009631,
3,0.999574,-0.014692,-0.023098,-0.010158,0.999091,0.018352,-0.035048,0.015885,0.992361,0.042351,0.010742,0.115374,0.953203,-0.087682,-0.249042,-0.147290,0.998115,0.017159,0.058438,-0.007610,0.998672,-0.026060,0.043161,-0.010553,0.999802,0.010163,0.007534,-0.015346,0.993783,-0.010251,0.108135,-0.024433,0.872250,-0.097274,-0.409376,-0.249258,0.996688,-0.020421,0.078705,-0.001293,0.999169,0.038395,-0.001267,0.013630,0.998722,-0.017179,0.046541,-0.009662,
4,0.999567,-0.014779,-0.023229,-0.010344,0.999099,0.018375,-0.034742,0.016000,0.992539,0.042370,0.010872,0.113807,0.953141,-0.087744,-0.249229,-0.147337,0.998132,0.017098,0.058119,-0.007897,0.998676,-0.026076,0.043127,-0.010341,0.999801,0.010410,0.007508,-0.015302,0.993683,-0.011062,0.108416,-0.026786,0.866635,-0.105171,-0.417295,-0.252485,0.996710,-0.020425,0.078426,-0.001401,0.999171,0.038270,-0.001296,0.013797,0.998727,-0.016690,0.046596,-0.009689,
5,0.999558,-0.014918,-0.023422,-0.010614,0.999108,0.018397,-0.034394,0.016169,0.992765,0.042437,0.011004,0.111783,0.953040,-0.087892,-0.249425,-0.147572,0.998152,0.017021,0.057746,-0.008302,0.998680,-0.026093,0.043098,-0.010043,0.999798,0.010769,0.007474,-0.015241,0.993534,-0.012310,0.108672,-0.030470,0.858292,-0.116768,-0.428845,-0.256501,0.996732,-0.020438,0.078135,-0.001584,0.999174,0.038123,-0.001361,0.014006,0.998735,-0.016053,0.046663,-0.009671,
6,0.999546,-0.015109,-0.023658,-0.010945,0.999115,0.018409,-0.034102,0.016376,0.992996,0.042579,0.011083,0.109653,0.952910,-0.088138,-0.249554,-0.148047,0.998168,0.016941,0.057411,-0.008777,0.998683,-0.026103,0.043093,-0.009704,0.999795,0.011190,0.007440,-0.015173,0.993333,-0.013984,0.108714,-0.035706,0.847812,-0.130977,-0.443132,-0.260181,0.996747,-0.020461,0.077932,-0.001839,0.999176,0.037992,-0.001468,0.014208,0.998743,-0.015391,0.046728,-0.009580,
7,0.999532,-0.015350,-0.023906,-0.011303,0.999117,0.018403,-0.033932,0.016599,0.993199,0.042812,0.011072,0.107701,0.952776,-0.088453,-0.249567,-0.148697,0.998178,0.016870,0.057181,-0.009270,0.998685,-0.026100,0.043127,-0.009370,0.999791,0.011608,0.007404,-0.015106,0.993054,-0.016086,0.108320,-0.043035,0.836094,-0.146178,-0.459164,-0.262196,0.996750,-0.020489,0.077879,-0.002143,0.999177,0.037904,-0.001615,0.014368,0.998751,-0.014818,0.046781,-0.009425,
8,0.999518,-0.015639,-0.024134,-0.011661,0.999115,0.018377,-0.033903,0.016821,0.993362,0.043134,0.010967,0.106069,0.952669,-0.088768,-0.249463,-0.149369,0.998181,0.016819,0.057077,-0.009736,0.998684,-0.026083,0.043211,-0.009080,0.999788,0.011969,0.007358,-0.015045,0.992623,-0.018652,0.107276,-0.053329,0.824095,-0.160578,-0.476242,-0.261297,0.996741,-0.020513,0.077984,-0.002459,0.999177,0.037861,-0.001785,0.014474,0.998757,-0.014397,0.046819,-0.009241,
9,0.999505,-0.015976,-0.024317,-0.012001,0.999109,0.018332,-0.033995,0.017022,0.993483,0.043536,0.010786,0.104780,0.952608,-0.088999,-0.249283,-0.149919,0.998177,0.016793,0.057081,-0.010147,0.998681,-0.026053,0.043347,-0.008854,0.999786,0.012241,0.007286,-0.014984,0.991899,-0.021723,0.105402,-0.067485,0.812586,-0.172534,-0.494049,-0.256616,0.996722,-0.020520,0.078208,-0.002756,0.999176,0.037851,-0.001958,0.014537,0.998761,-0.014132,0.046849,-0.009066,
