  ,// User name
24-5-2013,// Evaluation date
05Lprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
43.133,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,0.221736,0.401249,1.270234,0.263353,0.418671,1.025391,0.331884,0.398252,0.792865,0.266188,0.282386,0.865266,0.246803,0.307679,0.498924,0.192243,0.304546,0.054361,0.248178,0.015897,1.275991,0.302483,-0.046549,1.041156,0.317273,-0.027160,0.795278,0.226806,0.114049,0.869384,0.213103,0.098237,0.474351,0.190341,0.109077,0.056052,
1,0.221738,0.401250,1.270235,0.263354,0.418671,1.025391,0.331882,0.398260,0.792862,0.266190,0.282386,0.865265,0.246805,0.307678,0.498923,0.192245,0.304547,0.054358,0.248171,0.015908,1.275988,0.302479,-0.046517,1.041148,0.317276,-0.027154,0.795279,0.226806,0.114050,0.869384,0.213103,0.098239,0.474351,0.190349,0.109085,0.056052,
2,0.221743,0.401253,1.270235,0.263357,0.418672,1.025391,0.331886,0.398274,0.792860,0.266194,0.282386,0.865262,0.246809,0.307677,0.498920,0.192248,0.304549,0.054354,0.248152,0.015933,1.275981,0.302469,-0.046434,1.041128,0.317287,-0.027142,0.795280,0.226808,0.114053,0.869384,0.213102,0.098244,0.474351,0.190360,0.109097,0.056054,
3,0.221759,0.401264,1.270236,0.263368,0.418677,1.025391,0.331901,0.398315,0.792854,0.266209,0.282391,0.865254,0.246820,0.307674,0.498912,0.192259,0.304553,0.054342,0.248091,0.016018,1.275959,0.302433,-0.046164,1.041062,0.317324,-0.027101,0.795283,0.226814,0.114066,0.869385,0.213100,0.098261,0.474352,0.190392,0.109134,0.056058,
4,0.221790,0.401284,1.270237,0.263390,0.418687,1.025390,0.331937,0.398389,0.792844,0.266237,0.282404,0.865239,0.246837,0.307673,0.498896,0.192279,0.304559,0.054321,0.247978,0.016175,1.275914,0.302362,-0.045656,1.040935,0.317392,-0.027025,0.795289,0.226825,0.114090,0.869387,0.213096,0.098292,0.474354,0.190443,0.109194,0.056066,
5,0.221836,0.401313,1.270237,0.263427,0.418705,1.025387,0.331999,0.398485,0.792835,0.266275,0.282427,0.865218,0.246853,0.307676,0.498875,0.192302,0.304564,0.054297,0.247820,0.016393,1.275849,0.302255,-0.044953,1.040754,0.317486,-0.026923,0.795294,0.226840,0.114129,0.869389,0.213090,0.098335,0.474357,0.190500,0.109265,0.056075,
6,0.221892,0.401347,1.270233,0.263479,0.418731,1.025382,0.332088,0.398594,0.792826,0.266317,0.282463,0.865195,0.246862,0.307689,0.498852,0.192325,0.304567,0.054274,0.247640,0.016638,1.275769,0.302122,-0.044162,1.040544,0.317593,-0.026812,0.795296,0.226855,0.114179,0.869389,0.213084,0.098385,0.474358,0.190547,0.109327,0.056083,
7,0.221953,0.401383,1.270224,0.263547,0.418764,1.025375,0.332196,0.398707,0.792817,0.266358,0.282511,0.865172,0.246862,0.307711,0.498830,0.192344,0.304568,0.054257,0.247469,0.016873,1.275684,0.301986,-0.043412,1.040334,0.317697,-0.026713,0.795291,0.226871,0.114238,0.869387,0.213079,0.098435,0.474357,0.190577,0.109371,0.056087,
8,0.222012,0.401419,1.270211,0.263629,0.418803,1.025365,0.332313,0.398823,0.792805,0.266395,0.282567,0.865151,0.246854,0.307741,0.498809,0.192355,0.304567,0.054246,0.247330,0.017068,1.275602,0.301872,-0.042809,1.040154,0.317785,-0.026639,0.795276,0.226886,0.114305,0.869381,0.213077,0.098482,0.474353,0.190592,0.109391,0.056087,
9,0.222066,0.401454,1.270193,0.263719,0.418845,1.025354,0.332428,0.398944,0.792787,0.266429,0.282627,0.865131,0.246845,0.307777,0.498790,0.192359,0.304568,0.054241,0.247235,0.017207,1.275529,0.301796,-0.042409,1.040019,0.317851,-0.026596,0.795251,0.226904,0.114375,0.869373,0.213079,0.098524,0.474345,0.190598,0.109390,0.056081,
