  ,// User name
24-5-2013,// Evaluation date
05Lprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
43.133,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.997305,-0.018490,0.070504,0.008407,0.999163,0.031150,-0.021566,0.015393,0.985212,0.043224,-0.157144,0.052867,0.970130,-0.089688,0.014075,0.224957,0.994804,0.040629,0.043105,-0.082801,0.991853,-0.045511,0.038547,0.112560,0.990279,0.023457,0.017514,-0.135977,0.696040,0.043499,-0.205113,-0.686706,0.732278,0.069510,0.048429,0.675716,0.997755,-0.012455,0.031523,-0.057753,0.999285,0.036264,0.003912,0.009914,0.991857,-0.040675,0.056979,0.106388,
1,0.997305,-0.018489,0.070504,0.008415,0.999164,0.031139,-0.021577,0.015355,0.985214,0.043224,-0.157142,0.052837,0.970168,-0.089667,0.014023,0.224804,0.994807,0.040638,0.043114,-0.082756,0.991856,-0.045508,0.038545,0.112538,0.990282,0.023456,0.017506,-0.135960,0.696265,0.043468,-0.205103,-0.686483,0.732515,0.069499,0.048375,0.675464,0.997757,-0.012444,0.031533,-0.057718,0.999285,0.036272,0.003904,0.009900,0.991851,-0.040715,0.056989,0.106421,
2,0.997305,-0.018487,0.070504,0.008425,0.999166,0.031125,-0.021580,0.015292,0.985218,0.043226,-0.157136,0.052770,0.970220,-0.089636,0.013937,0.224600,0.994813,0.040647,0.043118,-0.082684,0.991861,-0.045505,0.038536,0.112503,0.990286,0.023477,0.017480,-0.135927,0.696854,0.043387,-0.205073,-0.685899,0.733134,0.069474,0.048234,0.674804,0.997760,-0.012429,0.031536,-0.057667,0.999285,0.036281,0.003890,0.009867,0.991841,-0.040772,0.056991,0.106494,
3,0.997305,-0.018480,0.070504,0.008446,0.999170,0.031086,-0.021572,0.015112,0.985232,0.043236,-0.157117,0.052561,0.970362,-0.089550,0.013681,0.224036,0.994828,0.040672,0.043116,-0.082481,0.991874,-0.045495,0.038506,0.112402,0.990300,0.023556,0.017396,-0.135827,0.698781,0.043125,-0.204972,-0.683982,0.735161,0.069390,0.047773,0.672637,0.997769,-0.012389,0.031529,-0.057523,0.999286,0.036307,0.003854,0.009765,0.991811,-0.040926,0.056983,0.106715,
4,0.997304,-0.018467,0.070506,0.008470,0.999177,0.031027,-0.021528,0.014813,0.985256,0.043257,-0.157084,0.052198,0.970594,-0.089406,0.013240,0.223110,0.994855,0.040705,0.043087,-0.082154,0.991895,-0.045482,0.038448,0.112241,0.990322,0.023716,0.017242,-0.135654,0.702407,0.042632,-0.204777,-0.680348,0.738973,0.069230,0.046902,0.668525,0.997785,-0.012330,0.031489,-0.057292,0.999286,0.036345,0.003794,0.009586,0.991762,-0.041166,0.056950,0.107102,
5,0.997304,-0.018449,0.070510,0.008474,0.999186,0.030968,-0.021418,0.014463,0.985284,0.043288,-0.157048,0.051753,0.970866,-0.089233,0.012695,0.222027,0.994888,0.040732,0.043006,-0.081789,0.991918,-0.045470,0.038363,0.112068,0.990349,0.023952,0.017038,-0.135445,0.707419,0.041949,-0.204496,-0.675263,0.744241,0.068999,0.045690,0.662764,0.997804,-0.012271,0.031384,-0.057031,0.999287,0.036385,0.003727,0.009363,0.991703,-0.041414,0.056877,0.107584,
6,0.997304,-0.018425,0.070519,0.008442,0.999196,0.030927,-0.021227,0.014142,0.985307,0.043323,-0.157026,0.051335,0.971126,-0.089060,0.012150,0.220986,0.994919,0.040740,0.042860,-0.081482,0.991937,-0.045463,0.038263,0.111942,0.990373,0.024230,0.016820,-0.135247,0.713035,0.041182,-0.204171,-0.669477,0.750141,0.068723,0.044320,0.656202,0.997823,-0.012233,0.031203,-0.056798,0.999288,0.036413,0.003668,0.009144,0.991652,-0.041589,0.056766,0.108049,
7,0.997304,-0.018397,0.070535,0.008374,0.999206,0.030909,-0.020973,0.013895,0.985320,0.043351,-0.157036,0.051034,0.971359,-0.088899,0.011676,0.220052,0.994944,0.040727,0.042662,-0.081289,0.991945,-0.045464,0.038163,0.111899,0.990390,0.024501,0.016623,-0.135100,0.718314,0.040463,-0.203861,-0.663950,0.755683,0.068439,0.043015,0.649930,0.997841,-0.012224,0.030960,-0.056619,0.999289,0.036425,0.003625,0.008976,0.991618,-0.041646,0.056639,0.108406,
8,0.997304,-0.018365,0.070556,0.008286,0.999214,0.030906,-0.020693,0.013736,0.985319,0.043365,-0.157087,0.050888,0.971575,-0.088742,0.011294,0.219178,0.994960,0.040702,0.042444,-0.081217,0.991943,-0.045469,0.038076,0.111946,0.990398,0.024723,0.016468,-0.135015,0.722472,0.039901,-0.203626,-0.659529,0.760053,0.068186,0.041965,0.644910,0.997856,-0.012238,0.030693,-0.056493,0.999290,0.036423,0.003594,0.008890,0.991606,-0.041577,0.056523,0.108603,
9,0.997304,-0.018328,0.070581,0.008201,0.999220,0.030907,-0.020434,0.013654,0.985305,0.043360,-0.157177,0.050883,0.971795,-0.088579,0.010986,0.218282,0.994968,0.040675,0.042248,-0.081242,0.991932,-0.045477,0.038010,0.112058,0.990400,0.024881,0.016356,-0.134985,0.725125,0.039550,-0.203499,-0.656672,0.762850,0.067989,0.041268,0.641665,0.997868,-0.012265,0.030448,-0.056412,0.999291,0.036410,0.003566,0.008907,0.991615,-0.041386,0.056441,0.108635,
10,0.997304,-0.018287,0.070604,0.008134,0.999225,0.030901,-0.020235,0.013631,0.985282,0.043338,-0.157294,0.050979,0.972030,-0.088407,0.010726,0.217318,0.994967,0.040658,0.042107,-0.081331,0.991917,-0.045488,0.037967,0.112201,0.990399,0.024981,0.016278,-0.134987,0.726329,0.039394,-0.203476,-0.655356,0.764145,0.067857,0.040916,0.640159,0.997875,-0.012294,0.030265,-0.056371,0.999291,0.036384,0.003528,0.009040,0.991642,-0.041077,0.056404,0.108526,
