  ,// User name
24-5-2013,// Evaluation date
05Rprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
78.617,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.337552,0.436671,1.263556,-0.303251,0.449064,1.017277,-0.227630,0.429641,0.786746,-0.291147,0.311625,0.867285,-0.307510,0.326632,0.500231,-0.360037,0.309661,0.053155,-0.323839,0.057605,1.268331,-0.276522,0.012305,1.028112,-0.255076,0.001325,0.788965,-0.335240,0.146340,0.869745,-0.351154,0.137819,0.474570,-0.375294,0.161922,0.055577,
1,-0.337553,0.436668,1.263554,-0.303251,0.449055,1.017275,-0.227676,0.429671,0.786713,-0.291145,0.311627,0.867286,-0.307507,0.326631,0.500231,-0.360035,0.309661,0.053154,-0.323841,0.057604,1.268329,-0.276524,0.012305,1.028110,-0.255073,0.001319,0.788964,-0.335241,0.146342,0.869744,-0.351154,0.137821,0.474569,-0.375294,0.161918,0.055574,
2,-0.337553,0.436658,1.263548,-0.303251,0.449026,1.017268,-0.227756,0.429703,0.786655,-0.291138,0.311633,0.867286,-0.307500,0.326629,0.500231,-0.360031,0.309660,0.053150,-0.323845,0.057602,1.268324,-0.276533,0.012312,1.028102,-0.255078,0.001309,0.788958,-0.335241,0.146350,0.869741,-0.351148,0.137829,0.474566,-0.375295,0.161911,0.055570,
3,-0.337553,0.436626,1.263529,-0.303251,0.448931,1.017246,-0.227986,0.429779,0.786486,-0.291115,0.311651,0.867286,-0.307480,0.326622,0.500231,-0.360018,0.309657,0.053137,-0.323858,0.057596,1.268308,-0.276563,0.012335,1.028078,-0.255101,0.001280,0.788939,-0.335238,0.146377,0.869731,-0.351128,0.137855,0.474555,-0.375300,0.161895,0.055558,
4,-0.337551,0.436564,1.263492,-0.303255,0.448748,1.017202,-0.228365,0.429870,0.786203,-0.291073,0.311687,0.867286,-0.307444,0.326611,0.500229,-0.359996,0.309652,0.053113,-0.323876,0.057582,1.268280,-0.276618,0.012376,1.028032,-0.255153,0.001233,0.788899,-0.335229,0.146429,0.869710,-0.351086,0.137903,0.474533,-0.375315,0.161876,0.055540,
5,-0.337545,0.436476,1.263438,-0.303264,0.448487,1.017137,-0.228799,0.429898,0.785871,-0.291014,0.311739,0.867285,-0.307397,0.326599,0.500225,-0.359968,0.309646,0.053078,-0.323891,0.057560,1.268240,-0.276690,0.012424,1.027968,-0.255241,0.001177,0.788840,-0.335208,0.146503,0.869678,-0.351022,0.137970,0.474500,-0.375346,0.161872,0.055526,
6,-0.337531,0.436369,1.263372,-0.303285,0.448176,1.017056,-0.229186,0.429789,0.785566,-0.290946,0.311803,0.867281,-0.307348,0.326592,0.500219,-0.359939,0.309639,0.053040,-0.323889,0.057529,1.268194,-0.276764,0.012462,1.027894,-0.255362,0.001124,0.788765,-0.335171,0.146590,0.869639,-0.350941,0.138046,0.474459,-0.375397,0.161905,0.055526,
7,-0.337510,0.436256,1.263298,-0.303317,0.447846,1.016965,-0.229463,0.429512,0.785339,-0.290877,0.311875,0.867275,-0.307305,0.326597,0.500213,-0.359913,0.309633,0.053003,-0.323859,0.057491,1.268146,-0.276823,0.012476,1.027819,-0.255504,0.001079,0.788682,-0.335115,0.146679,0.869597,-0.350855,0.138121,0.474416,-0.375467,0.161983,0.055547,
8,-0.337484,0.436144,1.263221,-0.303362,0.447527,1.016869,-0.229620,0.429096,0.785199,-0.290813,0.311950,0.867269,-0.307273,0.326618,0.500205,-0.359892,0.309629,0.052975,-0.323798,0.057449,1.268099,-0.276858,0.012457,1.027748,-0.255652,0.001040,0.788597,-0.335042,0.146761,0.869556,-0.350775,0.138190,0.474375,-0.375548,0.162097,0.055586,
9,-0.337455,0.436042,1.263144,-0.303416,0.447239,1.016771,-0.229683,0.428609,0.785126,-0.290759,0.312025,0.867263,-0.307253,0.326656,0.500199,-0.359877,0.309625,0.052958,-0.323709,0.057406,1.268053,-0.276862,0.012409,1.027685,-0.255795,0.001003,0.788515,-0.334956,0.146834,0.869522,-0.350709,0.138249,0.474342,-0.375624,0.162218,0.055631,
