  ,// User name
24-5-2013,// Evaluation date
05Uprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
39.517,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.079229,0.428557,1.262608,-0.048087,0.430875,1.015610,0.013520,0.389870,0.781692,-0.010244,0.307514,0.847306,-0.054272,0.337771,0.483482,-0.103189,0.331989,0.053205,-0.062452,0.047968,1.260815,-0.001190,0.017683,1.021386,0.014331,0.026910,0.777951,-0.078904,0.141149,0.856149,-0.109021,0.114518,0.462610,-0.117935,0.120372,0.054572,
1,-0.079227,0.428555,1.262608,-0.048086,0.430873,1.015609,0.013521,0.389874,0.781689,-0.010251,0.307515,0.847305,-0.054274,0.337771,0.483481,-0.103189,0.331990,0.053204,-0.062452,0.047966,1.260814,-0.001191,0.017683,1.021385,0.014316,0.026908,0.777945,-0.078902,0.141148,0.856149,-0.109023,0.114517,0.462610,-0.117936,0.120372,0.054572,
2,-0.079222,0.428550,1.262607,-0.048086,0.430867,1.015608,0.013520,0.389883,0.781685,-0.010259,0.307517,0.847305,-0.054277,0.337767,0.483479,-0.103187,0.331991,0.053203,-0.062456,0.047965,1.260811,-0.001196,0.017691,1.021381,0.014295,0.026902,0.777936,-0.078894,0.141150,0.856145,-0.109025,0.114517,0.462607,-0.117937,0.120372,0.054572,
3,-0.079205,0.428532,1.262606,-0.048083,0.430845,1.015605,0.013519,0.389910,0.781671,-0.010279,0.307523,0.847304,-0.054286,0.337752,0.483475,-0.103183,0.331995,0.053199,-0.062468,0.047961,1.260803,-0.001213,0.017720,1.021367,0.014239,0.026887,0.777912,-0.078864,0.141160,0.856131,-0.109032,0.114515,0.462597,-0.117937,0.120368,0.054568,
4,-0.079174,0.428497,1.262604,-0.048077,0.430803,1.015600,0.013516,0.389954,0.781649,-0.010308,0.307530,0.847305,-0.054301,0.337721,0.483472,-0.103174,0.332001,0.053193,-0.062492,0.047953,1.260786,-0.001247,0.017778,1.021340,0.014156,0.026858,0.777874,-0.078804,0.141179,0.856103,-0.109042,0.114511,0.462576,-0.117934,0.120360,0.054559,
5,-0.079133,0.428446,1.262604,-0.048067,0.430740,1.015596,0.013510,0.390002,0.781627,-0.010332,0.307533,0.847309,-0.054320,0.337674,0.483471,-0.103160,0.332010,0.053185,-0.062524,0.047942,1.260764,-0.001295,0.017858,1.021302,0.014076,0.026821,0.777831,-0.078714,0.141209,0.856061,-0.109049,0.114507,0.462544,-0.117927,0.120347,0.054544,
6,-0.079091,0.428382,1.262608,-0.048053,0.430664,1.015596,0.013502,0.390040,0.781612,-0.010338,0.307528,0.847318,-0.054336,0.337613,0.483476,-0.103143,0.332018,0.053177,-0.062558,0.047925,1.260739,-0.001350,0.017948,1.021258,0.014030,0.026782,0.777796,-0.078605,0.141244,0.856012,-0.109049,0.114502,0.462506,-0.117915,0.120331,0.054524,
7,-0.079054,0.428312,1.262618,-0.048037,0.430584,1.015603,0.013494,0.390056,0.781612,-0.010323,0.307513,0.847330,-0.054346,0.337548,0.483487,-0.103124,0.332024,0.053169,-0.062586,0.047902,1.260713,-0.001399,0.018030,1.021214,0.014029,0.026746,0.777772,-0.078490,0.141274,0.855964,-0.109038,0.114497,0.462469,-0.117901,0.120313,0.054503,
8,-0.079030,0.428240,1.262632,-0.048024,0.430506,1.015616,0.013490,0.390048,0.781628,-0.010292,0.307486,0.847344,-0.054348,0.337487,0.483502,-0.103106,0.332027,0.053163,-0.062601,0.047870,1.260689,-0.001434,0.018091,1.021173,0.014067,0.026719,0.777758,-0.078384,0.141291,0.855925,-0.109017,0.114491,0.462437,-0.117889,0.120297,0.054482,
9,-0.079021,0.428169,1.262651,-0.048017,0.430437,1.015635,0.013491,0.390022,0.781655,-0.010254,0.307452,0.847357,-0.054342,0.337434,0.483518,-0.103092,0.332027,0.053160,-0.062602,0.047830,1.260665,-0.001450,0.018128,1.021136,0.014128,0.026701,0.777750,-0.078296,0.141291,0.855898,-0.108989,0.114485,0.462416,-0.117883,0.120285,0.054465,
