  ,// User name
24-5-2013,// Evaluation date
06Rprocessed_troubleshooting.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
78.750,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,0.148149,0.461810,1.380631,0.159229,0.498692,1.144112,0.295335,0.472024,0.922105,0.157303,0.327145,0.914648,0.150232,0.401003,0.527478,0.111635,0.436281,0.090497,0.084598,0.066708,1.464936,0.090337,-0.188801,1.419117,0.202431,-0.012656,1.560746,0.160880,0.167417,0.920255,0.158723,0.109942,0.514515,0.103888,0.081839,0.087883,
1,0.148158,0.461813,1.380635,0.159236,0.498701,1.144117,0.295339,0.472033,0.922108,0.157299,0.327150,0.914649,0.150230,0.401006,0.527478,0.111636,0.436279,0.090496,0.084595,0.066712,1.464930,0.090332,-0.188795,1.419103,0.202458,-0.012648,1.560737,0.160878,0.167421,0.920254,0.158723,0.109944,0.514515,0.103886,0.081838,0.087883,
2,0.148180,0.461826,1.380645,0.159252,0.498726,1.144129,0.295352,0.472058,0.922115,0.157288,0.327166,0.914650,0.150223,0.401012,0.527478,0.111636,0.436275,0.090493,0.084572,0.066725,1.464901,0.090275,-0.188774,1.419022,0.202532,-0.012676,1.560782,0.160862,0.167429,0.920250,0.158713,0.109947,0.514511,0.103882,0.081836,0.087883,
3,0.148256,0.461868,1.380676,0.159308,0.498808,1.144165,0.295392,0.472141,0.922133,0.157251,0.327216,0.914655,0.150196,0.401034,0.527477,0.111635,0.436266,0.090486,0.084489,0.066768,1.464802,0.090060,-0.188700,1.418736,0.202779,-0.012807,1.560973,0.160807,0.167457,0.920236,0.158675,0.109960,0.514499,0.103872,0.081832,0.087885,
4,0.148398,0.461952,1.380730,0.159420,0.498966,1.144230,0.295472,0.472299,0.922165,0.157180,0.327310,0.914662,0.150142,0.401077,0.527474,0.111630,0.436250,0.090474,0.084321,0.066851,1.464612,0.089599,-0.188554,1.418163,0.203255,-0.013135,1.561427,0.160694,0.167509,0.920206,0.158595,0.109986,0.514473,0.103855,0.081826,0.087887,
5,0.148597,0.462081,1.380800,0.159585,0.499190,1.144313,0.295588,0.472523,0.922203,0.157079,0.327444,0.914674,0.150063,0.401141,0.527472,0.111619,0.436234,0.090459,0.084061,0.066974,1.464347,0.088839,-0.188333,1.417307,0.203947,-0.013780,1.562266,0.160526,0.167583,0.920161,0.158470,0.110025,0.514432,0.103835,0.081823,0.087889,
6,0.148827,0.462246,1.380870,0.159788,0.499450,1.144396,0.295732,0.472787,0.922239,0.156962,0.327604,0.914689,0.149966,0.401219,0.527471,0.111601,0.436223,0.090443,0.083733,0.067124,1.464049,0.087785,-0.188053,1.416246,0.204798,-0.014865,1.563595,0.160323,0.167676,0.920103,0.158308,0.110078,0.514380,0.103816,0.081824,0.087889,
7,0.149058,0.462436,1.380924,0.160005,0.499713,1.144461,0.295894,0.473063,0.922266,0.156848,0.327776,0.914707,0.149864,0.401307,0.527473,0.111576,0.436221,0.090430,0.083380,0.067291,1.463765,0.086504,-0.187734,1.415089,0.205739,-0.016499,1.565486,0.160116,0.167785,0.920037,0.158128,0.110142,0.514321,0.103803,0.081830,0.087885,
8,0.149265,0.462638,1.380954,0.160212,0.499948,1.144497,0.296064,0.473325,0.922286,0.156755,0.327948,0.914726,0.149772,0.401399,0.527477,0.111548,0.436226,0.090420,0.083057,0.067463,1.463530,0.085102,-0.187398,1.413942,0.206708,-0.018766,1.567974,0.159933,0.167910,0.919970,0.157949,0.110216,0.514260,0.103799,0.081840,0.087876,
9,0.149434,0.462840,1.380960,0.160385,0.500138,1.144501,0.296229,0.473558,0.922300,0.156696,0.328116,0.914747,0.149699,0.401491,0.527483,0.111521,0.436236,0.090413,0.082807,0.067630,1.463360,0.083695,-0.187060,1.412873,0.207653,-0.021720,1.571061,0.159786,0.168053,0.919903,0.157786,0.110297,0.514202,0.103804,0.081850,0.087860,
