  ,// User name
24-5-2013,// Evaluation date
06Rprocessed_troubleshooting,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
78.750,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.995794,-0.057383,0.021384,-0.068142,0.999250,-0.001951,0.038195,-0.006107,0.988364,0.136112,-0.037546,0.056575,0.961742,-0.123875,-0.242758,0.027851,0.995952,0.089135,0.003537,-0.011023,0.997573,-0.054730,0.038268,0.019728,0.991104,-0.004039,0.096248,-0.091835,0.748411,-0.514358,-0.305981,-0.285819,0.340295,0.094232,-0.935562,0.006607,0.995638,-0.074708,-0.009995,-0.054994,0.995957,0.033339,0.058208,0.059746,0.997134,0.028434,0.069297,-0.010662,
1,0.995794,-0.057378,0.021383,-0.068150,0.999250,-0.001951,0.038181,-0.006107,0.988367,0.136119,-0.037530,0.056520,0.961741,-0.123866,-0.242760,0.027903,0.995953,0.089130,0.003548,-0.011028,0.997572,-0.054730,0.038267,0.019734,0.991103,-0.004037,0.096252,-0.091839,0.748532,-0.514471,-0.305776,-0.285519,0.340270,0.093902,-0.935605,0.006502,0.995638,-0.074711,-0.009983,-0.054991,0.995957,0.033340,0.058211,0.059752,0.997135,0.028431,0.069285,-0.010676,
2,0.995793,-0.057366,0.021384,-0.068170,0.999252,-0.001950,0.038141,-0.006110,0.988373,0.136140,-0.037492,0.056375,0.961738,-0.123837,-0.242775,0.028012,0.995953,0.089118,0.003587,-0.011058,0.997572,-0.054733,0.038263,0.019756,0.991102,-0.004032,0.096262,-0.091842,0.749046,-0.514928,-0.304860,-0.284324,0.340234,0.092171,-0.935793,0.005998,0.995640,-0.074721,-0.009946,-0.054937,0.995960,0.033342,0.058217,0.059693,0.997137,0.028422,0.069247,-0.010685,
3,0.995791,-0.057331,0.021393,-0.068232,0.999257,-0.001945,0.038014,-0.006122,0.988393,0.136207,-0.037381,0.055941,0.961728,-0.123749,-0.242824,0.028308,0.995955,0.089075,0.003709,-0.011162,0.997571,-0.054741,0.038248,0.019836,0.991098,-0.004019,0.096293,-0.091849,0.750822,-0.516503,-0.301640,-0.280187,0.340149,0.086016,-0.936420,0.004205,0.995651,-0.074751,-0.009830,-0.054729,0.995973,0.033351,0.058233,0.059455,0.997147,0.028387,0.069123,-0.010700,
4,0.995787,-0.057270,0.021417,-0.068340,0.999265,-0.001929,0.037800,-0.006147,0.988424,0.136328,-0.037206,0.055220,0.961713,-0.123597,-0.242909,0.028750,0.995960,0.088989,0.003919,-0.011370,0.997568,-0.054757,0.038218,0.019991,0.991092,-0.004002,0.096350,-0.091853,0.754271,-0.519559,-0.295189,-0.272023,0.340066,0.073601,-0.937517,0.000566,0.995672,-0.074813,-0.009631,-0.054297,0.996001,0.033368,0.058259,0.058940,0.997165,0.028312,0.068890,-0.010705,
5,0.995781,-0.057196,0.021472,-0.068468,0.999273,-0.001893,0.037560,-0.006188,0.988454,0.136486,-0.037030,0.054389,0.961698,-0.123412,-0.243013,0.029162,0.995967,0.088858,0.004161,-0.011676,0.997564,-0.054780,0.038170,0.020216,0.991086,-0.003993,0.096425,-0.091837,0.759228,-0.523951,-0.285441,-0.259945,0.340137,0.054700,-0.938770,-0.005049,0.995703,-0.074908,-0.009406,-0.053634,0.996047,0.033394,0.058281,0.058123,0.997191,0.028191,0.068570,-0.010677,
6,0.995775,-0.057128,0.021576,-0.068576,0.999280,-0.001827,0.037389,-0.006243,0.988474,0.136646,-0.036940,0.053694,0.961690,-0.123238,-0.243113,0.029358,0.995977,0.088685,0.004345,-0.012045,0.997560,-0.054806,0.038105,0.020476,0.991083,-0.004003,0.096508,-0.091784,0.765094,-0.529140,-0.273106,-0.245063,0.340593,0.030545,-0.939633,-0.012378,0.995738,-0.075035,-0.009240,-0.052819,0.996106,0.033424,0.058284,0.057078,0.997220,0.028034,0.068219,-0.010596,
7,0.995771,-0.057086,0.021741,-0.068619,0.999280,-0.001728,0.037367,-0.006307,0.988473,0.136772,-0.037002,0.053335,0.961689,-0.123116,-0.243190,0.029237,0.995991,0.088479,0.004391,-0.012418,0.997556,-0.054832,0.038028,0.020717,0.991085,-0.004037,0.096586,-0.091678,0.771126,-0.534442,-0.259381,-0.229038,0.341715,0.003219,-0.939566,-0.020903,0.995771,-0.075192,-0.009206,-0.051978,0.996171,0.033454,0.058254,0.055949,0.997248,0.027866,0.067902,-0.010456,
8,0.995770,-0.057080,0.021973,-0.068567,0.999274,-0.001603,0.037527,-0.006369,0.988452,0.136835,-0.037244,0.053411,0.961695,-0.123074,-0.243240,0.028812,0.996008,0.088252,0.004266,-0.012730,0.997555,-0.054855,0.037941,0.020882,0.991093,-0.004088,0.096654,-0.091519,0.776707,-0.539263,-0.245583,-0.213566,0.343788,-0.025076,-0.938233,-0.030006,0.995795,-0.075374,-0.009334,-0.051225,0.996234,0.033480,0.058189,0.054871,0.997270,0.027718,0.067668,-0.010255,
9,0.995772,-0.057113,0.022262,-0.068412,0.999262,-0.001466,0.037842,-0.006421,0.988412,0.136820,-0.037641,0.053900,0.961700,-0.123117,-0.243270,0.028190,0.996027,0.088023,0.003995,-0.012925,0.997556,-0.054874,0.037847,0.020921,0.991106,-0.004141,0.096709,-0.091320,0.781482,-0.543238,-0.232805,-0.199952,0.347057,-0.052594,-0.935550,-0.039138,0.995810,-0.075573,-0.009599,-0.050595,0.996292,0.033507,0.058097,0.053899,0.997284,0.027615,0.067538,-0.010000,
10,0.995778,-0.057177,0.022587,-0.068166,0.999246,-0.001335,0.038252,-0.006449,0.988364,0.136734,-0.038122,0.054661,0.961694,-0.123232,-0.243308,0.027546,0.996046,0.087810,0.003636,-0.012965,0.997562,-0.054891,0.037747,0.020803,0.991121,-0.004183,0.096755,-0.091108,0.785354,-0.546255,-0.221704,-0.188868,0.351690,-0.078285,-0.931604,-0.047950,0.995818,-0.075781,-0.009947,-0.050039,0.996345,0.033541,0.057997,0.052999,0.997291,0.027568,0.067500,-0.009709,
