  ,// User name
24-5-2013,// Evaluation date
06Uprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
36.500,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.113900,0.453425,1.386403,-0.106025,0.490710,1.149819,0.027014,0.451382,0.925176,-0.109906,0.323000,0.913611,-0.112907,0.380992,0.523696,-0.158276,0.394662,0.091367,-0.164603,0.039718,1.451882,-0.149861,-0.189393,1.330604,-0.121773,-0.436126,1.397681,-0.104418,0.161485,0.914531,-0.102968,0.112736,0.507648,-0.158606,0.089688,0.088113,
1,-0.113902,0.453424,1.386397,-0.106030,0.490705,1.149812,0.027013,0.451384,0.925168,-0.109903,0.323002,0.913611,-0.112908,0.380993,0.523696,-0.158276,0.394663,0.091366,-0.164622,0.039742,1.451943,-0.149883,-0.189451,1.330821,-0.121827,-0.436138,1.398092,-0.104415,0.161488,0.914530,-0.102968,0.112737,0.507647,-0.158596,0.089687,0.088111,
2,-0.113905,0.453420,1.386376,-0.106043,0.490686,1.149789,0.027003,0.451381,0.925144,-0.109888,0.323006,0.913612,-0.112908,0.380996,0.523697,-0.158282,0.394665,0.091366,-0.164675,0.039825,1.452116,-0.149942,-0.189609,1.331451,-0.121980,-0.436143,1.399278,-0.104407,0.161494,0.914529,-0.102970,0.112738,0.507646,-0.158585,0.089686,0.088109,
3,-0.113916,0.453408,1.386307,-0.106084,0.490620,1.149710,0.026964,0.451363,0.925059,-0.109837,0.323016,0.913615,-0.112906,0.381005,0.523700,-0.158307,0.394675,0.091364,-0.164853,0.040105,1.452692,-0.150139,-0.190124,1.333547,-0.122486,-0.436135,1.403220,-0.104381,0.161511,0.914523,-0.102978,0.112741,0.507642,-0.158553,0.089682,0.088104,
4,-0.113932,0.453387,1.386173,-0.106161,0.490487,1.149556,0.026882,0.451317,0.924892,-0.109739,0.323034,0.913619,-0.112901,0.381021,0.523704,-0.158356,0.394693,0.091361,-0.165190,0.040643,1.453786,-0.150516,-0.191080,1.337572,-0.123451,-0.436064,1.410761,-0.104332,0.161539,0.914513,-0.102994,0.112743,0.507635,-0.158502,0.089674,0.088098,
5,-0.113949,0.453357,1.385978,-0.106267,0.490283,1.149331,0.026748,0.451223,0.924642,-0.109597,0.323056,0.913622,-0.112889,0.381042,0.523709,-0.158431,0.394717,0.091359,-0.165669,0.041419,1.455340,-0.151059,-0.192385,1.343362,-0.124826,-0.435837,1.421558,-0.104261,0.161572,0.914499,-0.103018,0.112743,0.507625,-0.158443,0.089665,0.088093,
6,-0.113957,0.453326,1.385740,-0.106386,0.490019,1.149054,0.026558,0.451061,0.924324,-0.109422,0.323076,0.913623,-0.112867,0.381065,0.523711,-0.158521,0.394744,0.091360,-0.166239,0.042360,1.457189,-0.151718,-0.193848,1.350363,-0.126461,-0.435354,1.434545,-0.104175,0.161601,0.914484,-0.103045,0.112738,0.507614,-0.158386,0.089656,0.088090,
7,-0.113947,0.453299,1.385482,-0.106497,0.489710,1.148749,0.026317,0.450815,0.923962,-0.109230,0.323090,0.913620,-0.112831,0.381083,0.523711,-0.158611,0.394769,0.091364,-0.166854,0.043389,1.459152,-0.152434,-0.195278,1.357923,-0.128182,-0.434543,1.448520,-0.104076,0.161616,0.914470,-0.103068,0.112727,0.507602,-0.158330,0.089650,0.088090,
8,-0.113909,0.453281,1.385224,-0.106584,0.489372,1.148437,0.026033,0.450475,0.923576,-0.109030,0.323093,0.913614,-0.112781,0.381093,0.523707,-0.158687,0.394789,0.091370,-0.167476,0.044443,1.461082,-0.153157,-0.196543,1.365490,-0.129848,-0.433369,1.462539,-0.103966,0.161614,0.914460,-0.103078,0.112707,0.507594,-0.158275,0.089649,0.088090,
9,-0.113837,0.453277,1.384978,-0.106636,0.489023,1.148136,0.025715,0.450040,0.923186,-0.108829,0.323084,0.913605,-0.112718,0.381092,0.523700,-0.158743,0.394802,0.091379,-0.168088,0.045481,1.462891,-0.153859,-0.197583,1.372699,-0.131374,-0.431817,1.476058,-0.103850,0.161592,0.914454,-0.103072,0.112680,0.507589,-0.158216,0.089650,0.088090,
10,-0.113732,0.453287,1.384753,-0.106649,0.488676,1.147853,0.025376,0.449517,0.922805,-0.108627,0.323060,0.913594,-0.112644,0.381077,0.523692,-0.158776,0.394808,0.091388,-0.168680,0.046478,1.464535,-0.154535,-0.198394,1.379360,-0.132726,-0.429872,1.488900,-0.103730,0.161550,0.914456,-0.103050,0.112642,0.507589,-0.158155,0.089655,0.088089,
11,-0.113596,0.453309,1.384549,-0.106627,0.488343,1.147593,0.025030,0.448925,0.922442,-0.108428,0.323020,0.913582,-0.112564,0.381049,0.523683,-0.158790,0.394808,0.091396,-0.169252,0.047417,1.466003,-0.155196,-0.199005,1.385408,-0.133899,-0.427507,1.501126,-0.103610,0.161488,0.914465,-0.103016,0.112595,0.507596,-0.158092,0.089660,0.088089,
12,-0.113436,0.453341,1.384365,-0.106580,0.488029,1.147355,0.024693,0.448286,0.922101,-0.108233,0.322963,0.913569,-0.112482,0.381011,0.523674,-0.158790,0.394805,0.091403,-0.169808,0.048285,1.467297,-0.155868,-0.199460,1.390841,-0.134893,-0.424676,1.512905,-0.103494,0.161407,0.914480,-0.102972,0.112540,0.507609,-0.158027,0.089665,0.088088,
13,-0.113259,0.453376,1.384202,-0.106512,0.487737,1.147141,0.024380,0.447625,0.921788,-0.108044,0.322892,0.913554,-0.112399,0.380964,0.523664,-0.158783,0.394799,0.091408,-0.170356,0.049070,1.468422,-0.156586,-0.199800,1.395684,-0.135693,-0.421315,1.524411,-0.103383,0.161310,0.914501,-0.102922,0.112479,0.507625,-0.157968,0.089668,0.088089,
14,-0.113069,0.453410,1.384059,-0.106424,0.487469,1.146951,0.024109,0.446964,0.921509,-0.107855,0.322807,0.913536,-0.112314,0.380911,0.523652,-0.158774,0.394792,0.091411,-0.170909,0.049768,1.469380,-0.157388,-0.200062,1.399962,-0.136273,-0.417352,1.535771,-0.103280,0.161202,0.914524,-0.102869,0.112414,0.507643,-0.157923,0.089669,0.088091,
15,-0.112868,0.453435,1.383937,-0.106310,0.487224,1.146789,0.023900,0.446321,0.921269,-0.107660,0.322712,0.913515,-0.112224,0.380856,0.523638,-0.158769,0.394785,0.091413,-0.171479,0.050377,1.470171,-0.158314,-0.200273,1.403699,-0.136606,-0.412715,1.547054,-0.103186,0.161086,0.914548,-0.102813,0.112349,0.507661,-0.157903,0.089668,0.088097,
16,-0.112656,0.453446,1.383839,-0.106158,0.487003,1.146656,0.023769,0.445711,0.921078,-0.107448,0.322612,0.913492,-0.112124,0.380799,0.523623,-0.158771,0.394778,0.091415,-0.172077,0.050898,1.470792,-0.159397,-0.200451,1.406919,-0.136682,-0.407339,1.558275,-0.103100,0.160968,0.914569,-0.102756,0.112286,0.507675,-0.157910,0.089663,0.088106,
17,-0.112433,0.453438,1.383766,-0.105958,0.486806,1.146556,0.023730,0.445144,0.920940,-0.107212,0.322512,0.913469,-0.112009,0.380744,0.523608,-0.158783,0.394771,0.091418,-0.172709,0.051337,1.471249,-0.160654,-0.200611,1.409655,-0.136519,-0.401171,1.569414,-0.103021,0.160854,0.914587,-0.102699,0.112225,0.507686,-0.157939,0.089656,0.088119,
18,-0.112200,0.453407,1.383716,-0.105701,0.486634,1.146487,0.023794,0.444631,0.920858,-0.106947,0.322418,0.913448,-0.111874,0.380692,0.523595,-0.158803,0.394764,0.091422,-0.173378,0.051699,1.471552,-0.162086,-0.200764,1.411957,-0.136160,-0.394174,1.580429,-0.102946,0.160749,0.914600,-0.102643,0.112169,0.507694,-0.157976,0.089649,0.088133,
19,-0.111964,0.453351,1.383685,-0.105389,0.486485,1.146445,0.023970,0.444179,0.920829,-0.106657,0.322336,0.913433,-0.111719,0.380644,0.523586,-0.158830,0.394758,0.091429,-0.174078,0.051991,1.471724,-0.163672,-0.200921,1.413890,-0.135656,-0.386323,1.591265,-0.102869,0.160657,0.914608,-0.102588,0.112119,0.507697,-0.158006,0.089643,0.088145,
20,-0.111728,0.453269,1.383665,-0.105024,0.486359,1.146422,0.024261,0.443800,0.920847,-0.106349,0.322267,0.913423,-0.111545,0.380602,0.523582,-0.158862,0.394753,0.091439,-0.174800,0.052217,1.471792,-0.165377,-0.201086,1.415528,-0.135057,-0.377605,1.601855,-0.102788,0.160582,0.914613,-0.102535,0.112076,0.507698,-0.158018,0.089640,0.088153,
21,-0.111502,0.453161,1.383649,-0.104616,0.486251,1.146412,0.024673,0.443499,0.920905,-0.106031,0.322213,0.913419,-0.111354,0.380567,0.523583,-0.158896,0.394749,0.091453,-0.175533,0.052387,1.471783,-0.167161,-0.201264,1.416937,-0.134392,-0.368021,1.612117,-0.102700,0.160525,0.914613,-0.102482,0.112041,0.507696,-0.158009,0.089640,0.088157,
22,-0.111288,0.453031,1.383629,-0.104171,0.486157,1.146404,0.025204,0.443284,0.920993,-0.105714,0.322173,0.913420,-0.111152,0.380538,0.523587,-0.158931,0.394745,0.091469,-0.176268,0.052512,1.471718,-0.168986,-0.201450,1.418169,-0.133668,-0.357591,1.621956,-0.102610,0.160485,0.914611,-0.102430,0.112014,0.507692,-0.157984,0.089642,0.088156,
23,-0.111090,0.452884,1.383599,-0.103693,0.486073,1.146391,0.025850,0.443151,0.921103,-0.105400,0.322142,0.913423,-0.110948,0.380518,0.523593,-0.158965,0.394742,0.091488,-0.176995,0.052605,1.471609,-0.170820,-0.201635,1.419254,-0.132863,-0.346354,1.631264,-0.102524,0.160457,0.914605,-0.102378,0.111993,0.507685,-0.157951,0.089647,0.088152,
24,-0.110906,0.452726,1.383557,-0.103184,0.485994,1.146370,0.026599,0.443095,0.921228,-0.105091,0.322117,0.913426,-0.110749,0.380505,0.523599,-0.158997,0.394739,0.091506,-0.177711,0.052684,1.471459,-0.172643,-0.201806,1.420209,-0.131935,-0.334374,1.639926,-0.102450,0.160439,0.914598,-0.102327,0.111977,0.507678,-0.157920,0.089654,0.088147,
25,-0.110735,0.452567,1.383502,-0.102646,0.485918,1.146339,0.027437,0.443102,0.921362,-0.104784,0.322093,0.913425,-0.110561,0.380495,0.523603,-0.159026,0.394735,0.091523,-0.178416,0.052765,1.471267,-0.174438,-0.201947,1.421038,-0.130832,-0.321740,1.647834,-0.102394,0.160424,0.914590,-0.102280,0.111962,0.507669,-0.157899,0.089661,0.088144,
26,-0.110573,0.452415,1.383435,-0.102082,0.485846,1.146297,0.028347,0.443152,0.921504,-0.104475,0.322063,0.913421,-0.110388,0.380485,0.523603,-0.159052,0.394731,0.091537,-0.179113,0.052863,1.471034,-0.176195,-0.202048,1.421751,-0.129502,-0.308561,1.654896,-0.102358,0.160405,0.914583,-0.102236,0.111946,0.507663,-0.157890,0.089667,0.088143,
27,-0.110417,0.452278,1.383359,-0.101500,0.485777,1.146246,0.029313,0.443226,0.921651,-0.104163,0.322025,0.913410,-0.110230,0.380469,0.523599,-0.159073,0.394724,0.091547,-0.179807,0.052990,1.470762,-0.177906,-0.202099,1.422360,-0.127911,-0.294963,1.661047,-0.102346,0.160377,0.914581,-0.102197,0.111925,0.507659,-0.157888,0.089673,0.088146,
28,-0.110268,0.452161,1.383275,-0.100912,0.485715,1.146188,0.030318,0.443301,0.921804,-0.103849,0.321976,0.913395,-0.110085,0.380444,0.523589,-0.159089,0.394715,0.091552,-0.180497,0.053153,1.470458,-0.179564,-0.202097,1.422884,-0.126044,-0.281076,1.666246,-0.102358,0.160335,0.914584,-0.102160,0.111897,0.507661,-0.157888,0.089676,0.088152,
29,-0.110124,0.452066,1.383185,-0.100330,0.485661,1.146120,0.031347,0.443357,0.921964,-0.103538,0.321915,0.913374,-0.109948,0.380408,0.523575,-0.159100,0.394706,0.091553,-0.181181,0.053353,1.470135,-0.181156,-0.202045,1.423347,-0.123913,-0.267027,1.670480,-0.102394,0.160279,0.914593,-0.102123,0.111862,0.507668,-0.157883,0.089678,0.088160,
30,-0.109985,0.451996,1.383088,-0.099764,0.485614,1.146045,0.032384,0.443374,0.922130,-0.103235,0.321845,0.913348,-0.109816,0.380361,0.523555,-0.159105,0.394697,0.091550,-0.181854,0.053588,1.469803,-0.182670,-0.201946,1.423769,-0.121552,-0.252936,1.673759,-0.102458,0.160208,0.914609,-0.102085,0.111820,0.507680,-0.157868,0.089680,0.088169,
