  ,// User name
24-5-2013,// Evaluation date
06Uprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
36.500,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.997104,-0.036573,0.029746,-0.059681,0.999581,-0.004081,0.021233,0.019233,0.991399,0.119059,-0.028739,-0.046120,0.956569,-0.116563,-0.253879,0.083270,0.997275,0.070312,0.011417,-0.019219,0.996626,-0.056179,0.053230,0.027324,0.992090,0.008769,0.090207,-0.086847,0.780024,-0.377410,-0.310247,-0.390987,0.924618,-0.092785,-0.328618,-0.168766,0.997962,-0.062908,0.009926,0.004014,0.996260,0.032383,0.071312,-0.036483,0.997411,0.012078,0.053654,0.046339,
1,0.997101,-0.036619,0.029734,-0.059707,0.999581,-0.004078,0.021247,0.019236,0.991398,0.119093,-0.028719,-0.046074,0.956569,-0.116552,-0.253883,0.083270,0.997275,0.070308,0.011408,-0.019220,0.996627,-0.056179,0.053222,0.027319,0.992090,0.008760,0.090210,-0.086847,0.779868,-0.377599,-0.310419,-0.390980,0.924598,-0.092773,-0.328654,-0.168815,0.997962,-0.062913,0.009916,0.004004,0.996259,0.032379,0.071304,-0.036528,0.997406,0.012116,0.053679,0.046408,
2,0.997093,-0.036750,0.029698,-0.059779,0.999580,-0.004072,0.021280,0.019234,0.991396,0.119182,-0.028660,-0.045920,0.956574,-0.116527,-0.253888,0.083236,0.997276,0.070301,0.011394,-0.019215,0.996629,-0.056180,0.053203,0.027271,0.992095,0.008749,0.090206,-0.086799,0.779406,-0.378146,-0.310924,-0.390971,0.924549,-0.092729,-0.328756,-0.168907,0.997961,-0.062925,0.009895,0.003992,0.996259,0.032377,0.071284,-0.036581,0.997397,0.012204,0.053735,0.046513,
3,0.997066,-0.037188,0.029578,-0.060017,0.999578,-0.004052,0.021385,0.019218,0.991391,0.119470,-0.028468,-0.045391,0.956593,-0.116447,-0.253897,0.083100,0.997278,0.070281,0.011353,-0.019198,0.996637,-0.056185,0.053142,0.027098,0.992112,0.008725,0.090190,-0.086622,0.777860,-0.379959,-0.312613,-0.390945,0.924393,-0.092574,-0.329097,-0.169185,0.997960,-0.062963,0.009829,0.003963,0.996259,0.032373,0.071218,-0.036720,0.997370,0.012475,0.053908,0.046816,
4,0.997013,-0.038023,0.029350,-0.060476,0.999575,-0.004017,0.021582,0.019171,0.991384,0.120004,-0.028104,-0.044344,0.956636,-0.116303,-0.253902,0.082798,0.997282,0.070247,0.011282,-0.019167,0.996651,-0.056199,0.053031,0.026765,0.992148,0.008694,0.090148,-0.086260,0.774865,-0.383410,-0.315868,-0.390908,0.924103,-0.092256,-0.329750,-0.169667,0.997957,-0.063031,0.009708,0.003921,0.996260,0.032369,0.071096,-0.036939,0.997324,0.012945,0.054208,0.047325,
5,0.996936,-0.039215,0.029023,-0.061137,0.999571,-0.003972,0.021854,0.019074,0.991379,0.120733,-0.027593,-0.042773,0.956709,-0.116118,-0.253877,0.082284,0.997286,0.070206,0.011190,-0.019129,0.996670,-0.056223,0.052883,0.026305,0.992202,0.008675,0.090075,-0.085715,0.770498,-0.388301,-0.320579,-0.390876,0.923707,-0.091748,-0.330696,-0.170260,0.997953,-0.063117,0.009541,0.003884,0.996262,0.032367,0.070928,-0.037189,0.997267,0.013510,0.054568,0.047947,
6,0.996840,-0.040640,0.028630,-0.061951,0.999568,-0.003923,0.022172,0.018914,0.991381,0.121549,-0.026997,-0.040758,0.956817,-0.115943,-0.253790,0.081547,0.997291,0.070167,0.011092,-0.019103,0.996689,-0.056258,0.052722,0.025811,0.992268,0.008678,0.089971,-0.085049,0.765118,-0.394081,-0.326342,-0.390892,0.923246,-0.091024,-0.331894,-0.170814,0.997949,-0.063204,0.009346,0.003860,0.996267,0.032368,0.070738,-0.037432,0.997212,0.014008,0.054890,0.048577,
7,0.996732,-0.042157,0.028211,-0.062860,0.999564,-0.003881,0.022505,0.018692,0.991394,0.122342,-0.026384,-0.038407,0.956958,-0.115838,-0.253604,0.080613,0.997294,0.070138,0.010994,-0.019106,0.996706,-0.056298,0.052571,0.025391,0.992338,0.008696,0.089848,-0.084358,0.759151,-0.400111,-0.332708,-0.391033,0.922752,-0.090045,-0.333351,-0.171165,0.997947,-0.063277,0.009138,0.003842,0.996272,0.032366,0.070547,-0.037662,0.997168,0.014310,0.055091,0.049158,
8,0.996618,-0.043650,0.027797,-0.063825,0.999562,-0.003849,0.022830,0.018420,0.991420,0.123029,-0.025807,-0.035823,0.957127,-0.115864,-0.253292,0.079537,0.997295,0.070122,0.010905,-0.019145,0.996717,-0.056339,0.052445,0.025125,0.992403,0.008715,0.089720,-0.083734,0.752946,-0.405844,-0.339336,-0.391425,0.922216,-0.088754,-0.335179,-0.171157,0.997946,-0.063326,0.008928,0.003815,0.996276,0.032358,0.070376,-0.037885,0.997138,0.014368,0.055144,0.049679,
9,0.996503,-0.045045,0.027411,-0.064824,0.999561,-0.003830,0.023128,0.018117,0.991460,0.123573,-0.025294,-0.033107,0.957317,-0.116056,-0.252846,0.078381,0.997295,0.070121,0.010837,-0.019215,0.996722,-0.056373,0.052347,0.025043,0.992455,0.008718,0.089598,-0.083240,0.746711,-0.410901,-0.346043,-0.392222,0.921582,-0.087091,-0.337611,-0.170648,0.997946,-0.063347,0.008730,0.003772,0.996278,0.032346,0.070232,-0.038099,0.997121,0.014218,0.055072,0.050148,
10,0.996387,-0.046308,0.027065,-0.065846,0.999561,-0.003824,0.023380,0.017799,0.991510,0.123970,-0.024846,-0.030376,0.957516,-0.116406,-0.252292,0.077208,0.997292,0.070134,0.010804,-0.019305,0.996722,-0.056397,0.052275,0.025137,0.992494,0.008702,0.089487,-0.082896,0.740521,-0.415071,-0.352762,-0.393578,0.920746,-0.084994,-0.340977,-0.169522,0.997948,-0.063341,0.008559,0.003727,0.996278,0.032333,0.070118,-0.038307,0.997112,0.013936,0.054919,0.050575,
