  ,// User name
24-5-2013,// Evaluation date
06Wprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
47.717,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.205778,0.446951,1.372306,-0.183499,0.471164,1.134942,-0.056149,0.411105,0.913457,-0.189600,0.300454,0.914655,-0.189918,0.350611,0.523644,-0.241645,0.359043,0.091146,-0.256620,0.037878,1.461133,-0.209808,-0.203420,1.377461,-0.118317,-0.120809,1.616256,-0.193612,0.138669,0.917093,-0.184187,0.100668,0.509171,-0.236091,0.087819,0.087791,
1,-0.205779,0.446949,1.372306,-0.183503,0.471165,1.134942,-0.056155,0.411107,0.913455,-0.189598,0.300455,0.914655,-0.189917,0.350611,0.523644,-0.241642,0.359038,0.091144,-0.256619,0.037877,1.461123,-0.209818,-0.203417,1.377435,-0.118343,-0.120663,1.616195,-0.193608,0.138669,0.917092,-0.184185,0.100669,0.509171,-0.236092,0.087817,0.087791,
2,-0.205776,0.446946,1.372309,-0.183514,0.471166,1.134944,-0.056176,0.411111,0.913451,-0.189590,0.300459,0.914655,-0.189913,0.350612,0.523643,-0.241642,0.359033,0.091141,-0.256614,0.037875,1.461098,-0.209836,-0.203407,1.377363,-0.118418,-0.120232,1.616003,-0.193594,0.138670,0.917090,-0.184180,0.100671,0.509169,-0.236093,0.087815,0.087791,
3,-0.205767,0.446938,1.372318,-0.183550,0.471172,1.134951,-0.056247,0.411121,0.913437,-0.189564,0.300470,0.914654,-0.189903,0.350618,0.523642,-0.241644,0.359017,0.091132,-0.256596,0.037871,1.461018,-0.209891,-0.203372,1.377127,-0.118675,-0.118796,1.615351,-0.193551,0.138673,0.917084,-0.184166,0.100676,0.509161,-0.236099,0.087807,0.087791,
4,-0.205746,0.446923,1.372339,-0.183616,0.471184,1.134966,-0.056386,0.411142,0.913410,-0.189514,0.300491,0.914653,-0.189885,0.350632,0.523639,-0.241653,0.358992,0.091117,-0.256562,0.037864,1.460866,-0.209995,-0.203301,1.376677,-0.119183,-0.116042,1.614077,-0.193468,0.138680,0.917072,-0.184137,0.100685,0.509148,-0.236108,0.087796,0.087792,
5,-0.205710,0.446906,1.372371,-0.183706,0.471203,1.134990,-0.056589,0.411172,0.913367,-0.189443,0.300524,0.914651,-0.189863,0.350654,0.523636,-0.241673,0.358966,0.091099,-0.256512,0.037860,1.460655,-0.210140,-0.203192,1.376034,-0.119947,-0.112086,1.612196,-0.193349,0.138694,0.917055,-0.184096,0.100700,0.509129,-0.236122,0.087783,0.087795,
6,-0.205656,0.446892,1.372413,-0.183809,0.471226,1.135022,-0.056841,0.411209,0.913311,-0.189360,0.300568,0.914649,-0.189840,0.350687,0.523633,-0.241705,0.358945,0.091082,-0.256455,0.037863,1.460407,-0.210314,-0.203047,1.375258,-0.120924,-0.107310,1.609839,-0.193206,0.138715,0.917036,-0.184041,0.100719,0.509108,-0.236138,0.087774,0.087800,
7,-0.205586,0.446886,1.372461,-0.183910,0.471254,1.135057,-0.057119,0.411252,0.913242,-0.189276,0.300619,0.914647,-0.189818,0.350727,0.523630,-0.241743,0.358935,0.091071,-0.256399,0.037878,1.460148,-0.210505,-0.202873,1.374417,-0.122047,-0.102152,1.607180,-0.193050,0.138744,0.917019,-0.183975,0.100744,0.509090,-0.236153,0.087769,0.087807,
8,-0.205503,0.446889,1.372508,-0.183998,0.471286,1.135092,-0.057401,0.411299,0.913161,-0.189197,0.300677,0.914646,-0.189797,0.350775,0.523628,-0.241780,0.358933,0.091066,-0.256351,0.037910,1.459897,-0.210699,-0.202674,1.373571,-0.123244,-0.096965,1.604373,-0.192891,0.138781,0.917005,-0.183896,0.100774,0.509075,-0.236165,0.087768,0.087815,
9,-0.205413,0.446904,1.372547,-0.184067,0.471322,1.135119,-0.057666,0.411348,0.913071,-0.189127,0.300740,0.914645,-0.189774,0.350830,0.523625,-0.241813,0.358938,0.091066,-0.256313,0.037960,1.459665,-0.210886,-0.202457,1.372757,-0.124446,-0.091972,1.601522,-0.192736,0.138827,0.916996,-0.183808,0.100810,0.509065,-0.236171,0.087769,0.087820,
