  ,// User name
24-5-2013,// Evaluation date
06Wprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
47.717,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.996088,-0.066421,0.008391,-0.057685,0.999575,-0.008051,0.027253,0.006519,0.989662,0.124600,-0.037680,-0.060198,0.963980,-0.121727,-0.233931,0.034654,0.997905,0.064606,0.002569,0.002031,0.996133,-0.054995,0.052780,-0.043680,0.995172,0.001868,0.087636,-0.044159,0.819025,-0.441235,-0.294607,-0.218441,0.476614,-0.149065,-0.863920,-0.065285,0.998882,-0.045783,-0.007288,0.009241,0.996740,0.032512,0.073247,-0.009395,0.996788,0.006747,0.061025,0.051414,
1,0.996088,-0.066414,0.008406,-0.057678,0.999575,-0.008048,0.027262,0.006525,0.989662,0.124598,-0.037689,-0.060198,0.963980,-0.121735,-0.233927,0.034672,0.997906,0.064601,0.002561,0.002028,0.996134,-0.054997,0.052781,-0.043663,0.995171,0.001875,0.087637,-0.044177,0.819091,-0.441300,-0.294471,-0.218246,0.476306,-0.149293,-0.864049,-0.065303,0.998882,-0.045785,-0.007293,0.009239,0.996740,0.032508,0.073247,-0.009396,0.996789,0.006751,0.061018,0.051415,
2,0.996090,-0.066396,0.008435,-0.057663,0.999574,-0.008040,0.027285,0.006538,0.989663,0.124587,-0.037693,-0.060199,0.963978,-0.121761,-0.233909,0.034736,0.997907,0.064590,0.002542,0.002027,0.996134,-0.055002,0.052778,-0.043664,0.995170,0.001889,0.087635,-0.044185,0.819249,-0.441440,-0.294151,-0.217797,0.475424,-0.149764,-0.864455,-0.065281,0.998882,-0.045793,-0.007305,0.009237,0.996740,0.032504,0.073242,-0.009393,0.996791,0.006749,0.060996,0.051397,
3,0.996096,-0.066335,0.008521,-0.057616,0.999572,-0.008013,0.027361,0.006583,0.989668,0.124548,-0.037694,-0.060205,0.963975,-0.121846,-0.233848,0.034947,0.997909,0.064556,0.002481,0.002026,0.996132,-0.055020,0.052769,-0.043690,0.995171,0.001931,0.087627,-0.044193,0.819762,-0.441878,-0.293122,-0.216363,0.472489,-0.151250,-0.865813,-0.065157,0.998880,-0.045820,-0.007342,0.009234,0.996742,0.032493,0.073225,-0.009378,0.996799,0.006735,0.060921,0.051328,
4,0.996107,-0.066220,0.008670,-0.057531,0.999568,-0.007962,0.027507,0.006665,0.989678,0.124471,-0.037678,-0.060214,0.963969,-0.122003,-0.233732,0.035335,0.997913,0.064491,0.002366,0.002026,0.996128,-0.055051,0.052749,-0.043768,0.995173,0.002004,0.087606,-0.044184,0.820717,-0.442669,-0.291199,-0.213706,0.466853,-0.153991,-0.868409,-0.064822,0.998877,-0.045873,-0.007413,0.009236,0.996745,0.032478,0.073192,-0.009340,0.996816,0.006692,0.060776,0.051174,
5,0.996123,-0.066060,0.008854,-0.057423,0.999562,-0.007893,0.027713,0.006781,0.989694,0.124353,-0.037620,-0.060217,0.963964,-0.122212,-0.233567,0.035842,0.997919,0.064405,0.002209,0.002028,0.996121,-0.055092,0.052716,-0.043916,0.995178,0.002098,0.087571,-0.044134,0.822041,-0.443712,-0.288527,-0.210050,0.458732,-0.157744,-0.872104,-0.064159,0.998873,-0.045947,-0.007513,0.009242,0.996750,0.032466,0.073143,-0.009267,0.996843,0.006603,0.060566,0.050920,
6,0.996140,-0.065873,0.009037,-0.057313,0.999555,-0.007818,0.027944,0.006916,0.989719,0.124203,-0.037505,-0.060199,0.963963,-0.122435,-0.233376,0.036350,0.997926,0.064311,0.002040,0.002022,0.996112,-0.055137,0.052675,-0.044123,0.995186,0.002197,0.087525,-0.044038,0.823578,-0.444842,-0.285415,-0.205846,0.448878,-0.162027,-0.876513,-0.063102,0.998868,-0.046031,-0.007622,0.009247,0.996755,0.032460,0.073089,-0.009151,0.996876,0.006467,0.060314,0.050581,
7,0.996156,-0.065685,0.009194,-0.057223,0.999549,-0.007752,0.028154,0.007056,0.989749,0.124038,-0.037337,-0.060142,0.963969,-0.122633,-0.233186,0.036733,0.997932,0.064227,0.001894,0.001999,0.996101,-0.055182,0.052633,-0.044353,0.995196,0.002288,0.087472,-0.043909,0.825176,-0.445908,-0.282187,-0.201548,0.438164,-0.166349,-0.881214,-0.061660,0.998864,-0.046110,-0.007710,0.009234,0.996760,0.032458,0.073044,-0.008998,0.996912,0.006304,0.060051,0.050208,
8,0.996169,-0.065515,0.009315,-0.057167,0.999544,-0.007707,0.028307,0.007188,0.989784,0.123873,-0.037135,-0.060030,0.963984,-0.122784,-0.233016,0.036912,0.997936,0.064166,0.001801,0.001950,0.996091,-0.055227,0.052595,-0.044571,0.995207,0.002365,0.087419,-0.043759,0.826717,-0.446803,-0.279101,-0.197505,0.427326,-0.170302,-0.885892,-0.059885,0.998861,-0.046170,-0.007754,0.009184,0.996763,0.032453,0.073021,-0.008832,0.996944,0.006142,0.059804,0.049876,
9,0.996179,-0.065376,0.009404,-0.057145,0.999541,-0.007690,0.028386,0.007297,0.989821,0.123725,-0.036929,-0.059855,0.964007,-0.122888,-0.232872,0.036882,0.997938,0.064134,0.001774,0.001876,0.996081,-0.055276,0.052567,-0.044766,0.995219,0.002428,0.087369,-0.043587,0.828126,-0.447466,-0.276340,-0.193955,0.416859,-0.173554,-0.890373,-0.057820,0.998861,-0.046204,-0.007746,0.009090,0.996764,0.032437,0.073029,-0.008693,0.996969,0.006007,0.059591,0.049659,
10,0.996184,-0.065276,0.009474,-0.057154,0.999540,-0.007698,0.028394,0.007371,0.989857,0.123603,-0.036748,-0.059622,0.964034,-0.122963,-0.232749,0.036695,0.997938,0.064132,0.001809,0.001783,0.996071,-0.055333,0.052548,-0.044943,0.995232,0.002479,0.087322,-0.043380,0.829356,-0.447868,-0.274016,-0.191046,0.407034,-0.175834,-0.894610,-0.055483,0.998862,-0.046212,-0.007692,0.008959,0.996763,0.032405,0.073068,-0.008615,0.996983,0.005908,0.059417,0.049602,
